Artist,Album
Wu-Tang Clan, Enter The Wu-Tang (36 Chambers)
XXXTentacion , ?
XXXTentacion ,17
YG , My Krazy Life
YG , Still Brazy
Young Thug , Barter 6
Young Thug , JEFFERY
Young Thug , Slime Season
Young Thug , Slime Season 2
Young Thug , Slime Season 3
