"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank"
"124","03lYYd9IOnxoacrLOvoPJa","Eminem Presents The Re-Up","https://i.scdn.co/image/9bddbacb3c5c2d64a674bae61c113951378f8d83","2006-01-01",2006-01-01,"eminem presents the re-up",TRUE,1,1,5
"125","7MZzYkbHL9Tk3O6WeD4Z0Z","Relapse: Refill","https://i.scdn.co/image/e74585aca312d5b33cff46b4dbaf20fbe72775c3","2009-05-15",2009-05-15,"relapse: refill",TRUE,1,1,6
"126","6tgULf2EfJoT8n1StuPQJt","Relapse","https://i.scdn.co/image/95214754963b09e938037755deac6e635ea5c3d2","2009-05-15",2009-05-15,"relapse",TRUE,3,1,7
"127","47BiFcV59TQi2s9SkBo2pb","Recovery","https://i.scdn.co/image/e1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0","2010-06-18",2010-06-18,"recovery",TRUE,2,1,8
"128","3vOgbDjgsZBAPwV2M3bNOj","The Marshall Mathers LP2","https://i.scdn.co/image/784f0c8eeece7e580c76a8b467764ae1da6999d1","2013-11-05",2013-11-05,"the marshall mathers lp2",TRUE,2,1,9
"129","7cwcyW39NGUAiukHc1MOFD","Revival","https://i.scdn.co/image/fcea66754c5ea32f09ef4d73db269d25e7622c2f","2017-12-15",2017-12-15,"revival",TRUE,1,1,10
"130","3HNnxK7NgLXbDoxRZxNWiR","Kamikaze","https://i.scdn.co/image/c932b53e6f13a45f32bc357303c56eb52ecc28fb","2018-08-31",2018-08-31,"kamikaze",TRUE,1,1,11
"131","392p3shh2jkxUxY2VHvlH8","channel ORANGE","https://i.scdn.co/image/a809b53f724dab8416e399bda6c0fc2a16ab75ed","2012-01-01",2012-01-01,"channel orange",TRUE,2,1,1
"132","3mH6qwIy9crq0I9YQbOuDf","Blonde","https://i.scdn.co/image/e22f959dae6f088b9c6614c4f777efacaf3544f1","2016-08-20",2016-08-20,"blonde",TRUE,1,1,2
"133","4zv8fBnpl74bnzlYYi5Yih","Midwestgangstaboxframecadillacmuzik","https://i.scdn.co/image/ca67832e3924aaa2ee9486d1737de730aa3151f3","2009-01-01",2009-01-01,"midwestgangstaboxframecadillacmuzik",TRUE,1,1,1
"134","1c5SNuDvXXiD9g0IKBUh28","The Miseducation of Freddie Gibbs","https://i.scdn.co/image/2918362b9050a50b53fd8edeefd8b793d1e2c608","2009",2009-01-01,"the miseducation of freddie gibbs",TRUE,1,1,2
"135","0zrSpGKGnSbKoeIavHiy6I","Str8 Killa","https://i.scdn.co/image/510baf1b44b6f14b39cf8532bf4c27376b09dd34","2010-08-03",2010-08-03,"str8 killa",TRUE,1,1,3
"136","15k8vlPxxEjhpHAxuwSBUh","Baby Face Killa","https://i.scdn.co/image/ca811f5fe5f37e26e8f106072a599ae02def2c8e","2012-09-25",2012-09-25,"baby face killa",TRUE,1,1,4
"137","6r4A1kEu3HAGMpEYBqocVl","Lord Giveth, Lord Taketh Away","https://i.scdn.co/image/257a428f8572693ed63869200ffc605887474169","2012-10-02",2012-10-02,"lord giveth, lord taketh away",TRUE,1,1,5
"138","6z2F5JAAILOH3nyvNcECy8","Cold Day In Hell","https://i.scdn.co/image/fad1e7125b08f2dc0965ef8c2c34f507770aa7d9","2012-12-11",2012-12-11,"cold day in hell",TRUE,1,1,6
"139","2CKPvOCCB1aCh5ZHoXm5vT","ESGN - Evil Seeds Grow Naturally","https://i.scdn.co/image/50a9588ddae393e7c801b47b189a06598ca68ab1","2013-06-19",2013-06-19,"esgn - evil seeds grow naturally",TRUE,1,1,7
"140","43uErencdmuTRFZPG3zXL1","Piñata","https://i.scdn.co/image/5d681db120c9d4db177c1dc4cb3b517003c8bfe5","2014-03-18",2014-03-18,"piñata",TRUE,1,1,8
"141","7nfBj1HTi3LHg5lJt1LbE4","The Tonite Show with Freddie Gibbs & The Worlds Freshest","https://i.scdn.co/image/3aa299d2deba2854b9e007795d766d65e44be328","2014-05-13",2014-05-13,"the tonite show with freddie gibbs & the worlds freshest",TRUE,1,1,9
"142","3MmQYoMTS3hGiBLKDuId4b","Piñata (Alex Goose Remix)","https://i.scdn.co/image/845d38c13e0a32e35b4390b0d83fd0c08a258974","2015-11-13",2015-11-13,"piñata (alex goose remix)",TRUE,1,1,10
