"","artist_name","artist_uri"
"1","21 Savage","1URnnhqYAYcrqrcwql10ft"
"2","2Pac","1ZwdS5xdxEREPySFridCfh"
"3","50 Cent","3q7HBObVc0L8jNeTe5Gofh"
"4","A Tribe Called Quest","09hVIj6vWgoCDtT03h8ZCa"
"5","A$AP Ferg","5dHt1vcEm9qb8fCyLcB3HL"
"6","A$AP Mob","7yO4IdJjCEPz7YgZMe25iS"
"7","A$AP Rocky","13ubrt8QOOCPljQ2FL1Kca"
"8","Ab-Soul","0g9vAlRPK9Gt3FKCekk4TW"
"9","Big K.R.I.T.","0CKa42Jqrc9fSFbDjePaXP"
"10","Black Star","67ei8ib6PLT1w3OkhIb4fB"
"11","Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs"
"12","Chief Keef","15iVAtD3s3FsQR4w1v6M0P"
"13","Childish Gambino","73sIBHcqh3Z3NyqHKZ7FOL"
"14","Clipse","2J257euzcjnDLipsyJH3F2"
"15","Common","2GHclqNVjqGuiE5mA7BEoc"
"16","Danny Brown","7aA592KWirLsnfb5ulGWvU"
"17","Death Grips","5RADpgYLOuS2ZxDq7ggYYH"
"18","Denzel Curry","6fxyWrfmjcbj5d12gXeiNV"
"19","Dr. Dre","6DPYiyq5kWVQS4RGwxzPC7"
"20","Drake","3TVXtAsR1Inumwj472S9r4"
"21","Earl Sweatshirt","3A5tHz1SfngyOZM2gItYKu"
"22","Eminem","7dGJo4pcD2V6oG8kP0tJRR"
"23","Frank Ocean","2h93pZq0e7k5yf4dywlkpM"
"24","Freddie Gibbs","0Y4inQK6OespitzD6ijMwb"
"25","Future","1RyvyyTE3xzB2ZywiAwp0i"
"26","Ghostface Killah","6FD0unjzGQhX3b6eMccMJe"
"27","GZA","6ns6XAOsw4B0nDUIovAOUO"
"28","Isaiah Rashad","6aaMZ3fcfLv4tEbmY7bjRM"
"29","J Dilla","0IVcLMMbm05VIjnzPkGCyp"
"30","J. Cole","6l3HvQ5sa6mXTsMTB19rO5"
"31","Jay Rock","28ExwzUQsvgJooOI0X1mr3"
"32","Joey Bada$$","2P5sC9cVZDToPxyomzF1UH"
"33","JPEGMAFIA","6yJ6QQ3Y5l0s0tn7b0arrO"
"34","Kanye West","5K4W6rqBFWDnAN6FQUkS6x"
"35","Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg"
"36","Kid Cudi","0fA0VVWsXO9YnASrzqfmYu"
"37","Killer Mike","2N4EYkIlG1kv25g6Wv8LGI"
"38","Lil Pump","3wyVrVrFCkukjdVIdirGVY"
"39","Lil Ugly Mane","2gPLG9mGaU67woC5L0luYA"
"40","Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz"
"41","Lil Wayne","55Aa2cqylxrFIXC767Z865"
"42","Lil Yachty","6icQOAFXDZKsumw3YXyusw"
"43","Lupe Fiasco","01QTIT5P1pFP3QnnFSdsJf"
"44","Mac Miller","4LLpKhyESsyAXpc4laK94U"
"45","Madvillain","2aoFQUeHD1U7pL098lRsDU"
"46","Meek Mill","20sxb77xiYeusSH8cVdatc"
"47","Offset","4DdkRBBYG6Yk9Ka8tdJ9BW"
"48","Mick Jenkins","1FvjvACFvko2Z91IvDljrx"
"49","Migos","6oMuImdp5ZcFhWP0ESe6mG"
"50","Mobb Deep","6O2zJ0tId7g07yzHtX0yap"
"51","Mos Def","0Mz5XE0kb1GBnbLQm2VbcO"
"52","N.W.A.","4EnEZVjo3w1cwcQYePccay"
"53","Nas","20qISvAhX20dpIbOOzGK3q"
"54","Noname","1EpyA68dKpjf7jXmQL88Hy"
"55","Nujabes","3Rq3YOF9YG9YfCWD4D56RZ"
"56","Playboi Carti","699OTQXzgjhIYAHMy9RyPD"
"57","Post Malone","246dkjvS1zLTtiykXe5h60"
"58","Pusha T","0ONHkAv9pCAFxb0zJwDNTy"
"59","Rae Sremmurd","7iZtZyCzp3LItcw1wtPI3D"
"60","Raekwon","2yQf6b8hxahZaT5dHlWaB1"
"61","Rich Gang","6h2J3dxLnTyURwIUBumKog"
"62","Run The Jewels","4RnBFZRiMLRyZy0AzzTg2C"
"63","ScHoolboy Q","5IcR3N7QB1j6KBL8eImZ8m"
"64","ScHoolboy Q","5IcR3N7QB1j6KBL8eImZ8m"
"65","Snoop Dogg","7hJcb9fa4alzcOq3EaNPoG"
"66","SZA","7tYKF4w9nC0nq9CsPZTHyP"
"67","The Game","0NbfKEOTQCcwd6o7wSDOHI"
"68","The Notorious B.I.G.","5me0Irg2ANcsgc93uaYrpb"
"69","The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ"
"70","Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY"
"71","Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY"
"72","Tyler, The Creator","4V8LLVI7PbaPR0K2TGSxFF"
"73","UGK","6ZhjJOJXXwnPS8PrXdmjLw"
"74","Vince Staples","68kEuyFKyqrdQQLLsmiatm"
"75","Wu-Tang Clan","34EP7KEpOjXcM2TCat1ISk"
"76","YG","0A0FS04o6zMoto8OKPsDwY"
"77","Young Thug","50co4Is1HCEo8bhOyUWKpn"
