artist_name,album_name,track_uri,track_name
21 Savage,i am > i was (Deluxe),3WXJOVqIyZKSkdLa82PF0L,a lot
21 Savage,i am > i was (Deluxe),1SHei85qV8JtytFwJq3MkF,break da law
21 Savage,i am > i was (Deluxe),4oP8NxbTOEUaQ3jwddewmu,a&t
21 Savage,i am > i was (Deluxe),51w3e5PWpRCus9wpkVLIwc,out for the night
21 Savage,i am > i was (Deluxe),1VXVS7GZN9yfbzaWcWq2eo,gun smoke
21 Savage,i am > i was (Deluxe),2rjbWlEDTx4tfajRaMs8Fw,1.5
21 Savage,i am > i was (Deluxe),0lf7CfXZnvX7LnqL2q8FNB,all my friends
21 Savage,i am > i was (Deluxe),1nbYiPgDJ4T3t46Is5Zc26,can't leave without it
21 Savage,i am > i was (Deluxe),4FQaMaxFgIMX1Wg5wYKMRi,asmr
21 Savage,i am > i was (Deluxe),4UW4GsTVETXP2mzXfMT2iC,ball w/o you
21 Savage,i am > i was (Deluxe),4xKn7ETAkXUQBTuueJM3Ri,good day
21 Savage,i am > i was (Deluxe),5j8sYRvWdZM8TgVJXYad1B,pad lock
21 Savage,i am > i was (Deluxe),27gIYiauwut951G7lpt9Zr,monster
21 Savage,i am > i was (Deluxe),4y66YZn8Bopcsumft1r39M,letter 2 my momma
21 Savage,i am > i was (Deluxe),41EKwqBy5rPsjxIWXAkobc,4L
21 Savage,i am > i was (Deluxe),4B8vU5oDXVxO5OkLAI4aLx,out for the night - part 2
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),00KjOnN3U40e3lXFUOue7h,10AM/Save The World (feat. Gucci Mane)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),2Grb4G6t9VIqo6moKUloom,Don't Come Out The House (with 21 Savage)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),22ykS8KWpd2r4zcRZ0XMK5,Dreamcatcher (feat. Swae Lee & Travis Scott)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4RGacGFT2ztXhGgzeaYzIR,Up To Something (feat. Travis Scott & Young Thug)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4cEqoGTqPRZy76Yl3ymj3V,Only 1 (Interlude) (with Travis Scott)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),6vG3Zv9VEA6YbJPJ6ar5Y7,Lesbian (feat. Gunna & Young Thug)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),0NA5xAtDra50d0Lfs2uvoh,Borrowed Love (feat. Swae Lee & WizKid)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),3XFwOQU8wxXWl8Rxj3lrOi,"Only You (feat. WizKid, Offset & J Balvin)"
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),42k9e2hgl98IdgkXLg4pxs,"No More (feat. Travis Scott, Kodak Black & 21 Savage)"
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),156LzfvMNKuXuiot4uzhGD,No Complaints (feat. Offset & Drake) (Bonus)
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),64wSIBV7Dl5Hmnhfjfsv1U,10AM/Save The World - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),0Bas2DXoMaoIZeWu0j0lJU,Overdue - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4m7wjaJF9SdnoZpZVrD113,Don't Come Out The House - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),1zBlx8uMzUxl61MG8nQ9UB,Dreamcatcher - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),1NeZpPnNi3DblecF4HIA9h,Space Cadet - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4TGw3fSZwRDlowy9JjiH6r,10 Freaky Girls - Instrumental
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),3P4W8dTAemA0eMiHdpdRJi,Up To Something - Instrumental
21 Savage,Without Warning,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers
21 Savage,Without Warning,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me
21 Savage,Without Warning,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin)
21 Savage,Without Warning,2D2w9943rsnJOGCrI4aMQp,My Choppa Hate Niggas
21 Savage,Without Warning,7LAhKXDNWwq3CmnFP3UIOP,Nightmare
21 Savage,Without Warning,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers
21 Savage,Without Warning,3oxCefEI6Tc6Z6t20J4IvH,Disrespectful
21 Savage,Without Warning,7vbjH8laThXpcBXeLNPm3M,Run Up the Racks
21 Savage,Without Warning,6m6Oy3F6GG0zRwH03rWmTv,Still Serving
21 Savage,Without Warning,7vg47qMIEdLfNdTE3WLf0T,Darth Vader
21 Savage,Issa Album,2fQrGHiQOvpL9UgPvtYy6G,Bank Account
21 Savage,Issa Album,1vc2YF7ZvUtwr45HNpdGch,Numb
21 Savage,Issa Album,55GLc4nywcX4aIlOcx1u06,FaceTime
21 Savage,Issa Album,5ZIZgRrrDj60O0F5oA9bVz,Bad Business
21 Savage,Issa Album,2aNdXtCtyoB2KrUh7pJYxO,Whole Lot
21 Savage,Issa Album,1mxC48728CxBA7WdKw6nFB,Close My Eyes
21 Savage,Issa Album,6QMlELXFU07NLdqv3DGNPI,Special
21 Savage,Issa Album,3rBwHfVPzmfR3ZVSliB0Om,Baby Girl
21 Savage,Issa Album,0mhsw7HRwRwF79ES5ucP9Y,Thug Life
21 Savage,Issa Album,6g0TAJ1grweRwBMLQyiZFb,Famous
21 Savage,Issa Album,74BIr8H03lr5L6LZ1friIa,Dead People
21 Savage,Issa Album,5aZrmUOr1kL5U6cg0WZNyw,7 Min Freestyle
21 Savage,Issa Album,54i1CQFlT3LeGdIVctDQp1,Money Convo
21 Savage,Issa Album,1szcZMcUlPjCItP4xNIU3E,Nothin New
21 Savage,Savage Mode,2kE82JhBcoS7mimFO1SqqX,No Advance
21 Savage,Savage Mode,4gmmRb6bZJffOOiww1JGTO,No Heart
21 Savage,Savage Mode,6fwdbPMwP1zVStm8FybmkO,X (feat. Future)
21 Savage,Savage Mode,52hRcWmjRNFuVJv3Qi7EeF,Savage Mode
21 Savage,Savage Mode,5TvdhNXoHbeGeWtjCYhFuy,Bad Guy
21 Savage,Savage Mode,5V57eUQoTrMCZqonhzi8B9,Real Nigga
21 Savage,Savage Mode,6hEHxpZpvZwt1v4NoGwjKr,Mad High
21 Savage,Savage Mode,4ujX9kC3UUp26MG0tPhUCz,Feel It
21 Savage,Savage Mode,1UyLFPOIG7E1OfamPQLOfD,Ocean Drive
21 Savage,Slaughter King,2DtqYVY9L3m7yvUvra7Ge6,Lord Forgive Me
21 Savage,Slaughter King,5jzICnPx3GiVD2FzvUhP1T,Dirty K
21 Savage,Slaughter King,3QfT6j50zHZLPrl5skf9mX,Front Door
21 Savage,Slaughter King,4C61YwZyiVfzrh8walv04F,Wow
21 Savage,Slaughter King,00WFoR7tPga5Wj92MSR3eD,Slime
21 Savage,Slaughter King,4tUHRIoPI8YiOsNOUrTomJ,Mind Yo Business
21 Savage,Slaughter King,3ZFYvE2CoxAKCs5O5DFkXA,No Peace
21 Savage,Slaughter King,3xAXYCtd98G5G0SSJAHtqd,Dip Dip
21 Savage,Slaughter King,0xwn1hcwKZEQTaRTLP0PFc,Motorcycle
21 Savage,Slaughter King,0H117ffxP9pOWGffiGCY3L,Deserve
21 Savage,Slaughter King,2eq9aw5ZZIuRswW9fy5PKE,Partments
21 Savage,Slaughter King,0CAugnKxS7xneO9ShRRxuY,Vette
21 Savage,Slaughter King,44TMQoBzzvSPhOouSxiBdT,Bitch Nigga Please
21 Savage,Slaughter King,6BNymc6C7PlRwBzgZBm5dk,Help Me
21 Savage,The Slaughter Tape,065LHZtJbXDZNAaQ2wQ5Sd,Skrrt Skrrt
21 Savage,The Slaughter Tape,3IDT2Uym5rKea8YprYyeBt,Pimp
21 Savage,The Slaughter Tape,4KP63LKrVrEdAK176UJYg8,Gang
