artist_name,artist_uri,genres,artist_followers,remove,notes
Fred Hammond,2ndyVAdV9UqF1XjyTJt484,gospel,260691,1,gospel
Kenny G,6I3M904Y9IwgDjrQ9pANiB,"smooth jazz, smooth saxophone",567147,1,jazz
KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,"hip hop, pop rap, rap",427908,,
Louis Prima,52lBOxCxbJg0ttXEW9CQpW,"adult standards, jump blues, lounge, soul, swing, vocal jazz",102197,1,jazz
Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a,"alternative r&b, deep pop r&b, hip pop, pop, pop rap, r&b, rap, urban contemporary",707567,,
D'banj,5RCdjio4ASMQ8CFaSuAl6C,"afro dancehall, afropop, nigerian hip hop, nigerian pop",49912,1,dancehall
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"dance pop, hip hop, miami hip hop, pop, pop rap, rap, southern hip hop, trap",4405001,,
The-Dream,1W3FSF1BLpY3hlVIgvenLz,"dance pop, deep pop r&b, hip hop, hip pop, pop, r&b, southern hip hop, trap, urban contemporary",719683,,
Otis Redding,60df5JBRRPcnSpsIMxxwQm,"classic soul, funk, memphis soul, soul, soul blues, southern soul",1451363,1,soul
Mr Hudson,1zV9UjTUevjp5VUddqIUUn,indie r&b,19684,,
Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,"chicago soul, classic soul, disco, funk, soul",632920,1,soul
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"chamber pop, eau claire indie, indie folk, melancholia, slow core",2529637,1,indie
Jeezy,4yBK75WVCQXej1p04GWqxH,"atl hip hop, crunk, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1444129,,
DJ Premier,6GEykX11lQqp92UVOQQCC7,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, jazz boom bap, turntablism",131448,,
Adam Levine,4bYPcJP5jwMhSivRcqie2n,pop rock,776302,1,pop
GLC,2hZ6jVi1cao5VlJHAEPzU7,chicago rap,2398,,
Consequence,5KkgZ31b9eDwkvo9oMIrSm,"nyc rap, queens hip hop",11368,,
Saudi,37Qsf5KCKljH7mL134xp4k,south african hip hop,7364,,
Yugen Blakrok,3kv1Edgn5HlEWCuEKr1Y9x,south african hip hop,8245,,
SOB X RBE,2TImI3DW7o5MdRXJs4D37h,"cali rap, trap, vapor trap",343474,,
Babes Wodumo,3jfVtv9mWfW0c5b3Fx440e,"afro house, gqom, kwaito house",52193,1,dance
Sjava,4RfOLIFy2xEmlWzXEVmLJn,"afro house, kwaito house, south african pop",108482,1,dance
U2,51Blml2LZPmy7TTiAg47vQ,"irish rock, permanent wave, rock",6229077,1,dad rock
George Clinton,2GVBp7QyHckoOg7rYkLvrA,"funk, p funk, soul",226504,1,funk
Thundercat,4frXpPxQQZwbCu3eTGnZEw,"hip hop, indie soul",395064,,
MC Eiht,4XqfpACObRB5AsBcUYjL8X,"g funk, gangster rap, west coast rap",186994,,
Colin Munroe,7IF7emaerV9vIoAjey6IHe,"indie r&b, soul flow",1343,1,indie
Dom Kennedy,3s8alQfNnY0roAHaJh7Xxt,"cali rap, hip hop, rap, southern hip hop, trap, underground hip hop, west coast trap",309192,,
Murs,2dWF6m2ksP9GN75fufFp16,"abstract hip hop, alternative hip hop, hip hop, underground rap",104225,,
Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",967377,,
WILLOW,3rWZHrfrsPBxVy692yAIxF,"dance pop, electropop, pop",595860,1,pop
Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,"art pop, chamber pop, freak folk, indie folk, indie pop, indie rock, rock, stomp and holler",516702,1,indie
Too $hort,4sb7rZNN93BSS6Gqgepo4v,"cali rap, gangster rap, hip hop, hyphy, pop rap, rap, southern hip hop, west coast rap",736982,,
HAIM,4Ui2kfOqGujY81UcPrb5KE,"dance pop, indie pop, indietronica, metropopolis, pop, pop rock, rock",867149,1,indie
Michael Bolton,6YHEMoNPbcheiWS2haGzkn,"adult standards, soft rock",843705,1,pop
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,"garage rock, indie pop, indie rock, modern rock, punk blues, rock",1848698,1,rock
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,"art pop, chamber pop, electropop, escape room, etherpop, freak folk, indie pop, indie rock, indietronica, metropopolis, new rave",544126,1,pop
Nicole Wray,3opP52YUU3kBoPizkJETnm,"hip pop, r&b, urban contemporary",16643,,
Ratatat,57dN52uHvrHOxijzpIgu3E,"alternative dance, new rave",486233,1,indie
MGMT,0SwO7SWeDHJijQ3XNS7xEE,"alternative dance, garage rock, indie pop, indie rock, indietronica, modern rock, rock",1680217,1,indie
Wale,67nwj3Y5sZQLl72VNUHEYE,"hip hop, pop, pop rap, rap, southern hip hop, trap",2389462,,
Steve Aoki,77AiFEVeAVj2ORpC85QVJs,"big room, dance pop, edm, electro house, tropical house",3334512,1,edm
Trouble,0701LAQrkY5Il5vt06uNnC,"atl hip hop, atl trap, rap, southern hip hop, trap",71894,,
El Potro De Sinaloa,0ClpuCq8RAV6Np5bVpgfyN,"banda, corrido, deep regional mexican, duranguense, grupera, norteno, regional mexican, regional mexican pop",235513,1,other
Big Boi,2ht3wxeT69CzyKFChNnNAB,"atl hip hop, dirty south rap, hip hop, pop rap, southern hip hop",261124,,
Rich Kidz,2WCSTqqMwguiIpPSzuE5UF,"atl hip hop, trap",50915,,
Princess Nokia,6lay1nwbE6hTx1jivysUAL,"escape room, lgbtq+ hip hop, trap queen",252738,,
Travis Porter,6z1cicLMt9XArxN10q7m8a,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap",615336,,
Trillville,3jahzTuztFVegfKXChatkY,"atl hip hop, crunk, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap",152814,,
B.o.B,5ndkK3dpZLKtBklKjxNQwT,"atl hip hop, dance pop, hip hop, pop, pop rap, rap, southern hip hop",1678552,,
Three 6 Mafia,26s8LSolLfCIY88ysQbIuT,"crunk, dirty south rap, gangster rap, hip hop, memphis hip hop, pop rap, rap, southern hip hop, trap",627965,,
M.O.P.,1BH45DVSTeGBvcYXNCd67g,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",166029,,
The National,2cCUtGK9sDU2EoElnk0GNB,"chamber pop, indie rock, modern rock",1139099,1,indie
When Saints Go Machine,0E7PsXA3qAN3NCycrWDFaf,"danish electropop, danish pop",34106,1,pop
Big Kuntry King,4V77E8MyGPCCvvjVFbYQfS,"atl hip hop, dirty south rap, gangster rap, rap, southern hip hop, trap",37529,,
Shawty Lo,5mNB8ykTlENptzmsxXRtdS,"atl hip hop, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap",211094,,
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,"dembow, latin, rap dominicano, reggaeton, reggaeton flow, tropical",759539,1,reggaeton
Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,cali rap,30653,,
Tyga,5LHRHt1k9lMyONurDHEdrp,"pop rap, rap, trap",5348424,,
Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,basshall,1579588,1,dancehall
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"emo rap, miami hip hop",17444007,,
Maluma,1r4hJ1h58CWwUQe3MxPuau,"latin, reggaeton",18307183,1,reggaeton
Diplo,5fMUXHkw8R8eOP2RNVYEZX,"bmore, edm, moombahton, ninja, pop",2184792,,
Zhavia Ward,1CO6e7WRJvSFenmQO8n64C,pop,361641,1,pop
Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,"bass house, brostep, edm, electro house, electronic trap, house, moombahton",156671,1,edm
Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,"electropop, indie pop, indie poptimism, indietronica, modern rock, pop",856212,1,pop
Lud Foe,0Cu32uCaqDJYQADOev92Et,"chicago rap, detroit trap, southern hip hop, trap",299009,,
Pressa,5olrQpDroHT7sjmYWMLivy,"canadian hip hop, melodic rap, rap montrealais, toronto rap",66223,,
Sosamann,3Bj81IbILbuj2uEwWXMdXI,"atl trap, houston rap, vapor trap",19602,,
Nivea,15Dh5PvHQj909E0RgAe0aN,"atl hip hop, deep pop r&b, hip pop, r&b, urban contemporary",385365,,
Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg,"baton rouge rap, dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",1072452,,
Gudda Gudda,7s47glsDg6fwq9KXNTsTpa,"dirty south rap, rap, southern hip hop, trap",24440,,
Trina,4PrinKSrmILmo0kERG0Ogn,"deep pop r&b, escape room, hip pop, miami hip hop, pop rap, r&b, rap, rap latina, southern hip hop, trap, trap queen",513325,,
Dreamville,1iNqsUDUraNWrj00bqssQG,"hip hop, pop rap, rap",199162,,
Cory Gunz,7BAaznGSsqcksud4R5ou5z,nyc rap,11740,,
Shyne,64ovxBmjJ9ZDqkzEXVWpVc,"gangster rap, hardcore hip hop, hip hop, hip pop, rap, southern hip hop",157610,,
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,pop,23507884,1,pop
Lil Twist,564gvOqSRcQoYAhaBpTiK2,"dfw rap, pop rap",28699,,
Jay Sean,4pADjHPWyrlAF0FA7joK2H,"dance pop, pop, pop rap, post-teen pop, r&b, urban contemporary",1028751,,
Jae Millz,0qWtta2AJnHQITmWvhcehs,"battle rap, harlem hip hop",29900,,
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"atl hip hop, atl trap, pop rap, rap, trap",3311676,,
Cardi B,4kYSro6naA4h99UJvo89HB,"pop, pop rap, rap",10475052,,
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,"melodic rap, rap, trap",4049393,,
Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,"baton rouge rap, pop rap, rap, southern hip hop, trap",2876647,,
Ugly God,3Fdm9TFJQCLmC3AWMuGExi,"rap, trap, underground hip hop, vapor trap",1690006,,
K$upreme,7trxpXo6hVUnoB22sbCkEd,"underground hip hop, vapor trap",51918,,
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,"baton rouge rap, trap",3915380,,
Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,cali rap,90814,,
Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,"dancehall, pop, pop rap, uk dancehall, uk hip hop",466566,,
Evander Griiim,6z0JR0pFTeC8mTfrRm4iXo,el paso indie,5929,1,indie
Grace VanderWaal,3YdT8QvV4QvY4DfVJhxdcZ,pop,1157530,1,pop
Byou,2XhCPdbPDFJ3dfXVFsDAB2,vapor trap,2210,1,vapor
The Good Perry,10PKQB3BrCkAFb2guTZobP,atl trap,3035,,
Kodie Shane,1CUeN4GnHAGUk9nAXPorF4,"atl hip hop, trap queen, vapor trap",70553,,
Skippa Da Flippa,4YWK3hXt1QRAw2rNBao55d,trap,197889,,
Lil Keed,3uJx5SnOM59Li7lCxA3b29,"melodic rap, rap, southern hip hop, trap, vapor trap",281703,,
Quality Control,6i392l38cR3uBPF0DbNs7S,"hip hop, melodic rap, pop rap, rap, southern hip hop, trap",506678,,
Stafford Brothers,1dnbud9cuozLQ86MtrDPFr,australian dance,16479,1,dance
D Savage,6FqXAd1hQl7vVdIQ3hhtgc,"underground hip hop, vapor trap",138468,,
Donny Osmond,5ZEAzHE2TzAwUcOj6jMIgf,"bubblegum pop, classic uk pop, movie tunes",49629,1,pop
Ayo & Teo,27mFvqQj8KpjmdKIqcw1mG,"social media pop, trap",621861,,
AJR,6s22t5Y3prQHyaHWUN1R1C,modern rock,1106332,1,rock
