album_uri,album_name,artist,release_date,album_type,remove,notes
6x0bSKJ5z02Z5QsSPs9jg9,The Young OG Project,Fabolous,12/25/14,album,,
3BBRkEHu6nmOVs7juIJ1KN,There Is No Competition 2: The Grieving Music Mixtape,Fabolous,1/1/10,album,,
6a7vy9QcBfeMweOvNC6MqV,When The North and South Collide Part 2,Fabolous,6/1/11,album,,
5lAFtj2EwOiV0Rp7PrqbOU,Friday On Elm Street,"Fabolous, Jadakiss",11/24/17,album,,
0cw1gHS7BUBlsIX1w6HLoH,Stand Up,"Fabolous, Jadakiss",10/31/17,album,,
6TcKWIXJvIVJHXerQtc81l,Choosy,"Fabolous, Jeremih, DaVido",10/4/19,album,,
4OlCa1kTyE2DBcU4ZfBQhX,A Faithful Christmas,Faith Evans,1/1/05,album,2,
1egeScIu3oMI7vqZ4pTqWj,A Minute,Faith Evans,7/27/18,album,,
36G7gDkkRckUGU7lgG6nev,Faith,Faith Evans,1995,album,,
0pP9NBXbbRH2ZJb7fazkZy,Faithfully,Faith Evans,2001,album,,
0qQEWvYT6Hr3GONP3ONhJb,I Deserve It (feat. Missy Elliott & Sharaya J),Faith Evans,8/25/14,album,,
7DxMOQL7k1HF476fsFrsvV,Incomparable,Faith Evans,11/24/14,album,,
2jQdDSxc2T21OFC72lAMYL,Keep The Faith,Faith Evans,1998,album,,
5WwXVI6HUXkn43fqtolRDO,"Lovin' Me (Theme from R&B Divas) feat. Nicci Gilbert, Monifah Carter, Syleena Johnson and Keke Wyatt",Faith Evans,8/21/12,album,,
4lDrys1XMoWv7um9oG73Oy,R&B Diva,Faith Evans,10/2/12,album,,
4MVVzn17ZgSSLyerbQtLDS,Something About Faith,Faith Evans,10/5/10,album,1,duplicate
5ylsv1oBEMCLir5HsDpEjg,Something About Faith (Best Buy Bonus Track Edition),Faith Evans,10/5/10,album,,
2WiOKRbyIKKeA8L7IossNX,The First Lady,Faith Evans,1/1/05,album,,
2aoVCmG1lwSjx0E5HjNpfZ,Rejoice With Me,"Faith Evans, Bobby Jones",12/26/19,album,,
3Ezv8bXs9vS908aaKdWrQ3,The King & I,"Faith Evans, The Notorious B.I.G.",5/19/17,album,,
5euZi2TwSCAei6BeLOwkQ0,The Last Of The Real Ones (Remix) [feat. MadeinTYO & buow],"Fall Out Boy, MadeinTYO, buow",6/28/18,album,1,duplicate
5PThPBBRyjunBNkZCJBKed,The Last Of The Real Ones (Win & Woo Remix) [feat. Princess Nokia] [Win & Woo Remix / Spotify Version],"Fall Out Boy, Princess Nokia",8/10/18,album,1,duplicate
2dwdwkNRJc35DbSDuRJSoq,The Last Of The Real Ones (Milk N Cooks Remix) [feat. Princess Nokia],"Fall Out Boy, Princess Nokia, Milk N Cooks",8/10/18,album,,
5wCuMMmsjXNZ9yU91sEjf7,Dex Meets Dexter,Famous Dex,4/6/18,album,,
4JXiAbWJB50MGIdmqXx06x,Dexter the Robot,Famous Dex,9/20/16,album,,
0hJoy2A7e6kspDrkxpib3o,Dexter's Laboratory,Famous Dex,1/5/16,album,,
3dFR2XBU9OuJ9pSJZjPZ8o,Drippy,Famous Dex,1/2/16,album,,
4opCXSprkNHaJGW4Yetibq,Fully Loaded (feat. Lil Gotit),Famous Dex,5/24/19,album,,
4iZQzYbGnX7lmY7V9PvvNG,Heartbreak Kid,Famous Dex,6/12/16,album,,
5USaIQDWgqA175K26dFjjV,"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",Famous Dex,9/21/18,album,,
6o27WSvsRdQz7CKRpM2QH3,Never Seen It Coming,Famous Dex,1/5/16,album,,
0F5c5lHvS91QEcjF9lEwax,OhhMannGoddDamm,Famous Dex,8/19/16,album,,
4IuPEFyARsKjK7Ha5pXGw2,Read About It,Famous Dex,12/24/17,album,,
3cSNcklQE7TzA8HWoeOy1S,Rockstar Lifestyle,Famous Dex,4/5/19,album,,
2avbVHxM6kxlhtGdWsb6G9,LIGHT (feat. Drax Project),"Famous Dex, Drax Project",8/17/18,album,,
2kEve25pBth9wi3u7TfwQx,Jugg & Finesse,"Famous Dex, Ghetty",12/9/15,album,,
6o9civwsaTzWu18rappghK,Proofread (feat. Wiz Khalifa),"Famous Dex, Wiz Khalifa",10/18/19,album,,
6FDI8sfT7i2Z10FS54xJMi,Boy Meets World,Fashawn,2009,album,,
4veTeKSKJtmZWDWLd1bjRw,Champagne & Styrofoam Cups,Fashawn,11/20/12,album,,
6CLUTz3HU9yOejlt8ck7qA,Champion - Single,Fashawn,4/3/14,album,,
0ohw8qRalsWjuQXW2duKG0,Freedom / Our Way,Fashawn,5/26/09,album,,
4o3thaSmuYERZOF6X65YmQ,"Gettin' It Remix (feat. C-Plus, Philthy Rich, & Krypto) - Single",Fashawn,1/15/13,album,,
7Au9onZ7pYxMNLdb0vPh9J,Grizzly City 3,Fashawn,8/21/12,album,,
50cKcSmA9WNslW8pJQAgWi,Higher Learning 2 (Deluxe Edition),Fashawn,4/3/12,album,,
1HQTyb7Ot7x8nEWm1nepZn,Life As A Shorty/The Score,Fashawn,7/28/09,album,,
0XknMRA8n9e3jOFm9heanN,Manna,Fashawn,8/11/17,album,,
5inSCUh9s0dI2KoIZ2xntO,Mother Amerikkka,Fashawn,8/10/16,album,,
4N6qjdasjW0eFOyNELl1lw,Rant,Fashawn,4/27/18,album,,
1WMGtyl9iaC9plpsQ9XZK6,Skating Down The Block - Single,Fashawn,1/16/14,album,,
4XOHSppmWhJ5O4hILGqAQD,Sunny Ca,Fashawn,7/28/09,album,,
64cfIRD8atNeBj3VtgxDrE,The Beginning - Single,Fashawn,11/5/13,album,,
2shDfkurxVATmfZP25Xwr8,The Ecology,Fashawn,2/24/15,album,,
0mJmzfcp5ASas1FPWhSv7t,The Sixth Letter,"Fashawn, DJ.Fresh",3/9/18,album,,
68y5fgBDVrX5485HFOWuu7,Slang,"Fasscoupe, Tracy T",5/9/18,album,2,
5Oy4NEFTF4lOs3JrkOPWSk,We Here,"Fast Cash Boyz, BlocBoy JB",7/19/19,album,2,
1qzA3MSlfMuQjIBiKI1zMg,Darkside III,Fat Joe,9/3/13,album,,
7yp9iqFTNZlruW9CdcYhQG,Don Cartagena,Fat Joe,1998,album,,
52wo63yrO3Cl4DPVGvDZVN,Jealous One's Envy,Fat Joe,1995,album,1,duplicate
6vMgb2mih3pPiWUxF8VEdI,Jealous Ones Still Envy (J.O.S.E),Fat Joe,12/4/01,album,,
6ksNq6drQoPmClg9SXtOn2,"Me, Myself & I",Fat Joe,11/14/06,album,,
6WZdfi2NcBRfx31kVxZhJe,Represent,Fat Joe,1993,album,,
131lT70OJ3MfQ9lzRXwQjW,The Darkside,Fat Joe,7/27/10,album,,
0E74lJz7EpijEP2YDHGDYh,YES,"Fat Joe, Cardi B, Anuel AA",9/6/19,album,,
3H4fSwQCPxXkVS10z9er8t,Family Ties,"Fat Joe, Dre",12/6/19,album,,
2s9GL9vHROaU36yB1sH2A0,Pullin,"Fat Joe, Dre, Lil Wayne",6/27/19,album,,
0xbuukhY7x8L8owrxgzjF5,"All The Way Up (Asian Remix) [feat. Jay Park, AK-69, DaboyWay, SonaOne & Joe Flizzow] - Single","Fat Joe, Remy Ma",8/17/16,album,,
440LTVLN1YB3twxQtG1tck,Heartbreak (feat. The-Dream & Vindata),"Fat Joe, Remy Ma",4/21/17,album,,
01ZQaJKPoe1vONHeoaSsdt,Money Showers,"Fat Joe, Remy Ma",11/11/16,album,,
1hyd7RYmR54Elg3MhZzXJW,Plata O Plomo,"Fat Joe, Remy Ma",2/17/17,album,,
0WJfayJV9l6YcUflfQE6ol,Cookin (feat. RySoValid) - Single,"Fat Joe, Remy Ma, French Montana",8/5/16,album,,
399fVeaMpCPWGZZvrloxGw,Bx Bang (Remix),"Faylah Scarmega, Fred the Godson",3/28/19,album,2,
1M0WxFpnuYYKPIkEQSuGGc,A Little Party Never Killed Nobody (All We Got) [Gatsby Remix Invasion],"Fergie, Q-Tip, GoonRock",1/1/13,album,2,
6udQgzYavJz1rg3fy7Od5O,Birthday (feat. Monty),Fetty Wap,6/7/19,album,,
4w9vl62zVJkZ5ADdAxP55c,Bruce Wayne,Fetty Wap,6/7/18,album,,
1S0aJy2i3ByQCniQEGSUhQ,Cologne,Fetty Wap,11/13/19,album,,
2gKQvajkEEaDtkqJ8FJ4uw,Fetty Wap (Deluxe),Fetty Wap,9/25/15,album,,
75ob5Ls4nwXDAdLudyPdZQ,For My Fans,Fetty Wap,1/19/18,album,,
5eXVEzsa8DbGl0KIukZrGB,Fresh N Clean,Fetty Wap,12/6/19,album,,
2LVY1AxlcXNzAcBVHi5ENv,History,Fetty Wap,2/18/19,album,,
6BH64F7JPMcspYfknnrkp7,Trippin Baby,Fetty Wap,1/7/19,album,,
0ZNDVHEPSJno1D7LnPSOar,Zoo (feat. Tee Grizzley),Fetty Wap,8/9/19,album,,
02y5t1NV2AX88bPG8PSH5E,Can I Burn?,Fiend,2006,album,,
6DMHjV0eGAzzXWoUDvxZy8,Can I Burn? 2,Fiend,2003,album,,
3W7HGd0lXnZALDLK8tgRVH,End Games,Fiend,11/18/19,album,,
4NgGgRctEbxjM5diSLhBHV,Go Hard Or Go Home,Fiend,2004,album,,
6HvYjCXJc0wmcL87lB4lOQ,Heart of a Ghetto Boy: Volume 1,Fiend,8/21/15,album,,
5QEqykVj3XEtWMl21BqYuM,Promise Me,Fiend,1/14/19,album,,
0lZaq0mvyjOfBYIANCC9jI,Pump a Lot,Fiend,9/18/18,album,,
1WRwOsKHalJxYsm4sEYcXB,She Bad Tho,Fiend,8/5/16,album,,
0nox4GZOJQPculPJoMBZTw,Still Cookin',Fiend,12/14/18,album,,
3TChv1e0iqR6t3yAUbeW9S,Street Aint Safe Vol. 3,Fiend,6/30/15,album,,
5wTVoRvNET0stges4z9wv4,The Addiction,Fiend,6/27/06,album,,
20PsQPEyRCAdetYlcaKGCw,The Addiction (Chopped & Screwed),Fiend,11/14/06,album,1,duplicate
7ExwMagClBMZ5jHzHU6Ug7,The Most,Fiend,2/22/19,album,,
21OsIIquHaERn5YNeCew3Q,There's One in Every Family 2,Fiend,5/5/19,album,,
6lLCMsvIheYDT2tiNLLM0n,Wall 2 Wall (Remix),"Fiend, 38, Hot Boy Turk",8/2/19,album,,
4CbAuaUFyMG6PqkAbGQMe9,Summer League,"Fiend, Corner Boy P",5/1/17,album,,
4qxqWGRnfYcsP4kzF94Ceq,Richer Than Ever,"Fivio Foreign, Rich The Kid",1/17/20,album,2,
7xaC6bVJqAatWaCj9OossS,Cellophane,FKA twigs,4/24/19,album,,
7KbIFEpOqDkCkq2mBUzJuD,EP1,FKA twigs,12/4/12,album,,
29TfvskYkqsTpiNkyUYruw,EP2,FKA twigs,9/17/13,album,,
5d7ZkBFIdIUKD1zVYl76vy,Good to Love,FKA twigs,2/19/16,album,,
3nLiYcMpeEOKzb5TzQcJer,home with you,FKA twigs,10/7/19,album,,
5VqGGKeWpIBRFh4M4XmqDK,LP1,FKA twigs,8/12/14,album,,
7rSESybi14vAuEVzkipODD,M3LL155X,FKA twigs,8/13/15,album,,
2w8Wshbp9RCPJdPU1iOpaY,MAGDALENE,FKA twigs,11/8/19,album,,
2cademwJfslSCuNwtUoj9P,sad day,FKA twigs,11/4/19,album,,
1hDlZBsaWOz8St9iioQF0y,holy terrain,"FKA twigs, Future",9/9/19,album,,
2yCpdo20DhxBEPsyt8RUz6,Risk,"FKJ, Bas",11/5/19,album,2,
4Qohh8LwXoV7ucmjCU4MYL,3001: A Laced Odyssey,Flatbush Zombies,3/11/16,album,,
3vFm6Mdz9IzLMugyXIEOZs,Aries (feat. Deadcuts),Flatbush Zombies,11/15/16,album,,
01YrTOpggh1BpOMI6xS5nt,Headstone,Flatbush Zombies,7/17/18,album,,
49o0se7P1QNHXkN0dVD4Ao,Lava (feat. Zombie Juice),Flatbush Zombies,7/6/17,album,,
7GU53EMnNGAT0ukjJ0WDFX,Monica (feat. Tech N9ne),Flatbush Zombies,12/5/19,album,,
4fu25rIwwmMT77lPjdWREr,New World Order,Flatbush Zombies,10/31/18,album,,
4U3SJtvQ2RbExdPO4NsoAi,U&I (feat. Dia),Flatbush Zombies,3/20/18,album,,
1LLCK8Bx6rN1Oc8biIrtTg,Vacation (feat. Joey Bada$$),Flatbush Zombies,4/5/18,album,,
622gmiTAUET3WtAZq8aXtS,Vacation In Hell,Flatbush Zombies,4/6/18,album,,
3c24ZR1qf81UYxlqAX5wfV,Michael Jackson,Flavor Flav,5/21/13,album,,
0GwEPdUTDGWbqVrYs87K9n,Loyalty & Trust,"Flee Lord, 38 Spesh",8/8/19,album,,
0PdnEprxdPrQMNeKbP9QWg,Dreams & Vibrations,"Flex Mathews, Damu The Fudgemunk",5/11/18,album,,
4AgennmKnwGzpY8usQKM4J,Dancer,Flo Rida,3/2/18,album,,
4Asu7eu8lZtgyR8PFAnFTq,In My Mind Part 3 (feat. Georgi Kay),Flo Rida,9/27/18,album,,
58uBx1THjuhOBVKprvzbGn,Mail on Sunday,Flo Rida,3/18/08,album,,
1TwNATuAqnNjTd5BSvFZlS,Only One Flo (Part 1),Flo Rida,11/24/10,album,,
1O3WPkoASRsSlZrB6gaMO2,R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,3/30/09,album,,
2SaRh5MzsFdzBJvC3TzVig,Snack (feat. E-40 & Sage The Gemini),Flo Rida,5/24/19,album,,
1mVRC7EFi3mzRGBxZoX5GY,Sweet Sensation,Flo Rida,3/30/18,album,,
7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,Flo Rida,6/22/12,album,,
1Lm9XNBbDl1NGQ2P3QB1Mw,Cake (East & Young Remix),"Flo Rida, 99 Percent, East & Young",6/2/17,album,1,duplicate
0JXEvtBzGOqi3awC0QAi5M,Cake (Getdown Remix),"Flo Rida, 99 Percent, Getdown",5/5/17,album,1,duplicate
2MdXkXR7HGL5qV3hE3YCxv,Cake (PBH & Jack Shizzle Remix),"Flo Rida, 99 Percent, PBH & Jack",6/2/17,album,1,duplicate
1uQvn3uGCgatpa68x1lgfw,Cake (Tokyo Mo Remix),"Flo Rida, 99 Percent, Tokyo Mo",5/12/17,album,1,duplicate
02ftf7zI3U5fJ5GwyE8JC9,Hola (feat. Maluma),"Flo Rida, Maluma",11/17/17,album,,
4n53dM9MN3CpmlEhVC99pj,Quisiera,"Flor de Toloache, John Legend",6/21/19,album,2,
17E1duFXL5b3vaZKLpIzqE,Rainfall,"Flwr Chyld, Yung Baby Tate",10/14/16,album,2,
0duzU1uas5aoOamsPFmkwh,Keep On,"Fonzworth Bentley, Faith Evans",10/5/16,album,,
37hi5FjoN2SucQV1MmznVD,6toven,"Foolio, Zaytoven",7/13/18,album,2,
6OrVYYqQOBSNX07M7y4HnG,God Only Knows (Team Timbo Remix),"for KING & COUNTRY, Dolly Parton, Timbaland",12/6/19,album,1,duplicate
1EVzer4Sth6dDaSXxZRuR0,God Only Knows (Timbaland Remix),"for KING & COUNTRY, Echosmith, Timbaland",6/14/19,album,1,duplicate
34FXGW2Nr8JpwTfTEgO181,Pay the Man (Remix),"Foster The People, JID, Saba",12/13/17,album,2,
7t8u2wy5tBfVBlf2O68APf,Armageddon,Fred the Godson,11/30/10,album,,
2OaHvG2maRL9SDvcgWRVmT,Better Now (feat. Jim Jones & Marc Scibilia),Fred the Godson,10/31/19,album,,
6oDVMVo2lUWWBRWHUsvfcF,City of God,Fred the Godson,11/16/11,album,,
6chkJBGyChYIO48nawePEv,Contraband,Fred the Godson,3/6/13,album,,
1WoqEWf1kMMgiF5FS9TLWw,Fat Boy Fresh,Fred the Godson,3/11/14,album,,
5GDCwd7HCgXaLWXABBBlQm,Gordo,Fred the Godson,8/25/17,album,,
4NeoL0zfWDgjWlIrzOiasf,Gordo Frederico,Fred the Godson,8/16/12,album,,
5VNWnaeF8Eahf1ICAe2305,Retaliation,Fred the Godson,10/16/19,album,,
1GaX3a6Hf097KMmRAlLk45,Special Love,Fred the Godson,8/10/18,album,,
2qpgNfiD4f19rBCiAzZ7JF,"The Features, Vol. 3",Fred the Godson,3/2/18,album,1,compilation
5H8KnyYVAc2Qo8McryEBCk,"The Features, Vol. 5",Fred the Godson,5/18/18,album,1,compilation
5AJwRUgUZF1HPTdFjgp3Ln,Training Day,"Fred the Godson, Jay Pharoah",1/10/20,album,,
5gbGJg6xgYQOUoF0KeJQf9,Konexion EP,"Freddie Foxxx, Bumpy Knuckles",5/5/03,album,,
35HcMPwM050tI1PDsrWhwa,Poetry / Gangstas Again,"Freddie Foxxx, Bumpy Knuckles",11/24/03,album,,
31KbO7WnDp2AjPdmRTJzdf,Bandana,"Freddie Gibbs, Madlib",6/28/19,album,,
4xW2BxaorYk4ejt78KJUVk,Bandana Beats,"Freddie Gibbs, Madlib",1/31/20,album,1,duplicate
43uErencdmuTRFZPG3zXL1,Pinata,"Freddie Gibbs, Madlib",3/18/14,album,,
5AW4FwzZSKW1se5qWQCrR1,Pinata (Alex Goose Instrumental Remix),"Freddie Gibbs, Madlib",11/13/15,album,1,duplicate
3MmQYoMTS3hGiBLKDuId4b,Pinata (Alex Goose Remix),"Freddie Gibbs, Madlib",11/13/15,album,1,duplicate
59hfkzf8uA66Ko9H5tQU5z,The World Is My Ashtray,"Freddie Gibbs, Ski Beatz",10/2/15,album,,
3OHxfqmr3SGPOkj7bEXeWX,Ain't No Money Like Trap Money (Vol. 1),Fredo Santana,5/20/15,album,,
2GD5zhh62AEsDZeDdilyzJ,Fredo Kruger,Fredo Santana,2/28/13,album,,
4y8VCv8bEgpdcGXzaGFcAi,Fredo Kruger 2,Fredo Santana,9/8/17,album,,
7Ep13WCeRQoN8ARCPGUfPD,Fredo Mafia,Fredo Santana,7/4/16,album,,
2m6eXbRjQsEfGZlQPH6Jod,"Go Live (feat. Chief Keef, Ball Out & Tadoe)",Fredo Santana,8/25/17,album,1,duplicate
21sye4TzqcuSdmyY3gU6bp,"Go Live (feat. Chief Keef, Ballout & Tadoe)",Fredo Santana,8/4/17,album,,
358Y0BccNif7Usd553ZiAa,It's a Scary Site (Hosted by Trapaholics & DJ Victoriouz),Fredo Santana,9/20/12,album,,
3POxztMv7T5xSQ4L9zV0rX,It's a Scary Site 2,Fredo Santana,12/20/13,album,,
0f6dJkNiFyuSYHeYp47GOl,Kill U on Camera,Fredo Santana,8/25/17,album,,
3hWqct8yNNEtQXjiOOq9v9,Kill You on Camera,Fredo Santana,8/1/17,album,,
7mvgCAMgL7yNynS0zDHXbU,Plugged In,Fredo Santana,1/20/17,album,,
10m5vXmKXzwleTr472dKgF,Trappin' Ain't Dead,Fredo Santana,10/31/13,album,,
4eXytKQCltDTGznZ1OH2lq,Walking Legend,Fredo Santana,7/31/14,album,,
09pRTTE7nLwt1QHtMaNeOe,Want My Spot,Fredo Santana,1/23/18,album,,
66ZNyAO6rJ7UmErLIpzmzC,Street Shit,"Fredo Santana, Gino Marley",6/27/13,album,,
2HZuNcdyDP2IA2T7MtTWcv,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,10/10/18,album,,
53oqFs4q8sfqH6IPiyleEN,Free Nationals,Free Nationals,12/13/19,album,,
5COwxcrDHpm6t439Cuba4p,Shibuya,Free Nationals,11/8/19,album,,
3JSJyzppxZlGxoqawHFgbj,Eternal Light,"Free Nationals, Chronixx",10/15/19,album,,
1ffElvStUPwXnCwQOzXOUY,On Sight,"Free Nationals, JID, Kadhja Bonet",9/20/19,album,,
7kq1ebktEQwpq5YaHGjPac,Free Will,Freeway,4/29/16,album,,
5nneB9u7pcODVkvWZs6tFJ,Freedom of Speech,Freeway,11/18/14,album,,
5nREQGl0Y5eQPFOaNHaP7l,"Month of Madness, Vol. 1",Freeway,11/18/14,album,,
1oKdikVZmWqC92aGaADbBX,"Month of Madness, Vol. 10",Freeway,11/18/14,album,,
7CTTaAnVGrd1yAYt6DvUBQ,"Month of Madness, Vol. 11",Freeway,11/18/14,album,,
70fm2bwOGwO71lFoerbDXG,"Month of Madness, Vol. 12",Freeway,11/18/14,album,,
0vbXYPgjXZFAn2udhEGmq2,"Month of Madness, Vol. 2",Freeway,11/18/14,album,,
3orXiiSBokMb97T98UNNtW,"Month of Madness, Vol. 4",Freeway,11/18/14,album,,
3y5pjAo44l2DwyWmtv32EG,"Month of Madness, Vol. 5",Freeway,11/18/14,album,,
2MXxH03PMRyJT0edRoOCoa,"Month of Madness, Vol. 6",Freeway,11/18/14,album,,
60W4oRlXmdjy8pV5QH6ctF,"Month of Madness, Vol. 7",Freeway,11/18/14,album,,
6hKnZicICr9W2UMGsJx7MX,"Month of Madness, Vol. 8",Freeway,11/18/14,album,,
3gAuYEdT1Vx9sudnSmAPiu,"Month of Madness, Vol. 9",Freeway,11/18/14,album,,
3qzX0pYJhgVkfTbJmcwuMg,Philadelphia Freeway 2,Freeway,7/28/15,album,,
3TdzlLvp92Gs8ytjbvudU3,The Beat Made Me Do It,Freeway,11/18/14,album,,
2xEc6J9F3bGTbLiD9xbp9j,The Intermission,Freeway,11/18/14,album,,
30RpjN8k8DVsHDwh00ZAKS,Think Free,Freeway,6/22/18,album,,
6dCQ7OUUm2oLfOdHOlHulX,Write My Wrongs,Freeway,11/18/14,album,,
0hxTM6isophoY8wq5sjYg0,Casino Life - Mr. 16,French Montana,2011,album,,
1dOMtl1MR3L3kxn9sgKbsv,Casino Life: Mr. 16,French Montana,2/16/11,album,,
72nWp7Nzops5TbonDkj8ch,Cocaine Konvicts,French Montana,9/7/09,album,,
47fRnYCk13PNR7xSY4ikOX,Coke Boys,French Montana,9/15/10,album,,
5XO3AMoaPFcF3SSY8wMpmj,Coke Boys 2,French Montana,2011,album,,
7KyWDnJ3lyCwq7IvF3qnRj,Coke Boys 3,French Montana,11/6/12,album,,
5q9EcrbRPXsrVVrRyIH8gR,Coke Boys Tour,French Montana,10/20/10,album,,
2PpxxoArVS7VEVhZlSOhY1,Coke Wave 2,French Montana,9/7/10,album,,
5Llp1V2yhpdGle13fM1EWh,Excuse My French,French Montana,1/1/13,album,1,duplicate
0CzrFpMimyOqcUHIdzgekz,Excuse My French (Deluxe),French Montana,1/1/13,album,,
1J6cnvBcyU2Sjl9UZCOlBb,French Revolution,French Montana,9/4/07,album,,
3nRP1rcJVLhFkoKO9ArUHS,Goon Music 2.0,French Montana,5/5/09,album,,
4c2p3TdN7NcQfCXyueCNnC,Jungle Rules,French Montana,7/14/17,album,,
3jY530B68THqJUzx3uNLKa,Lock Out,French Montana,2012,album,,
1jJdkoOAj3Uk6Tbv3S4fsa,MONTANA,French Montana,12/6/19,album,,
7rmnGDfffE9OoCScZ4pjjU,Twisted (feat. Logic & A$AP Rocky),"French Montana, Juicy J",10/11/19,album,,
1sxQSVktWFNNwdFnH8ndmx,New Thang (From the Original Motion Picture Soundtrack 'Uncle Drew'),"French Montana, Remy Ma",6/12/18,album,,
1v3mvgCF6QJTyJQv2vI6Fb,Out Of Your Mind (feat. Chris Brown),"French Montana, Swae Lee",2/3/20,album,,
6TvW6H8pazvevRd1m0LfRA,Gutz and Glory,"Fucccdat, Tadoe",3/24/19,album,,
5M1abRnhUWaLZdgd29gQ6M,100 Shooters (feat. Meek Mill),"Future, Doe Boy",7/12/19,album,,
6P9PZjWXoCRF5b66BafPKY,Future & Juice WRLD Present... WRLD ON DRUGS,"Future, Juice WRLD",10/19/18,album,,
187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,"Future, Young Thug",10/20/17,album,,
4KKVfEM8MOOKt4SXodTXyl,Bag,"Future, Yung Bans",5/30/18,album,,
32vcA0f79Vz2J9Xr04w172,Ballin Like I'm Kobe,G Herbo,9/2/16,album,,
5C6eTagVXINCGyxZXxi2j2,Can't Sleep,G Herbo,11/8/19,album,,
0QeNDNZLKWDv8jrGjRxglN,Humble Beast,G Herbo,9/22/17,album,1,duplicate
5ECtjGOFXwDA8nVhBARKv6,Humble Beast Deluxe,G Herbo,2/16/18,album,,
05nz369VCkzWjwhlsm1kJl,Hunnit Bands,G Herbo,11/29/19,album,,
49wxzYIuUbqcyDJCbcmhOw,My Bro's a Legend,G Herbo,12/6/19,album,,
2ck2MY44Teh1XmunOyEUFV,Pistol P Project,G Herbo,3/10/17,album,,
2OGBAbD2izTlwY6W2b9856,Remember,G Herbo,12/13/19,album,,
13M3fpe48TWUmlpJru6tlt,Sessions,G Herbo,12/27/19,album,,
3LAaLOh4GM2Q1negUZ1Yiw,Still Swervin,G Herbo,2/1/19,album,,
0caX02A7W2m4PG6ZHAmeF8,Strictly 4 My Fans,G Herbo,11/25/16,album,,
1BIMDTUUagnoiq7mFtCdRT,Summer is Cancelled,G Herbo,8/30/19,album,,
2UZkY7Dr1xPY6pnkz6my2B,Welcome to Fazoland,G Herbo,11/4/16,album,,
29fiRhN89MKBLrKqPKVJhs,Focused,"G Herbo, Southside",5/24/18,album,,
34kopsbmag9UOeKI1svDCw,Some Nights,"G Herbo, Southside",7/26/18,album,,
6Ii9GOGk4v4NWJIDjAbe87,Swervo,"G Herbo, Southside",7/27/18,album,,
2eCXxokl0g95ZhBTjv9l0i,That's How I Grew Up,"G Herbo, Southside",7/20/18,album,,
2C6M7W3XuPMko8hacm8Ibo,B-Sides,G-Eazy,9/19/19,album,,
6xtugMcB7hTNJH14wYxzBJ,I Wanna Rock (feat. Gunna),G-Eazy,10/15/19,album,,
1wRnE3zgCE5oY28pzmlsqe,Must Be Nice,G-Eazy,9/26/12,album,,
77Q0xwlCfFLhUNO1Sh8ORM,Scary Nights,G-Eazy,10/18/19,album,,
1VAc77UvK5wj8ZSWCo3V2b,The Beautiful & Damned,G-Eazy,12/15/17,album,,
6wDc63NhKy2PyXdbhkRmrl,These Things Happen,G-Eazy,6/20/14,album,,
09Q3WwGYsQe5ognkvVkmCu,When It's Dark Out,G-Eazy,12/4/15,album,,
0N2i9tYtJ4EZu1s6gHzSkd,West Coast,"G-Eazy, Blueface",3/7/19,album,,
5skKnhcAVxYf2NhfqkdHt1,"West Coast (feat. Blueface, ALLBLACK & YG)","G-Eazy, Blueface, ALLBLACK",3/28/19,album,,
0KHIH7UC8WATEByfXGfYaY,Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tyga",2/7/20,album,,
2p9kN8xRHifUw2bxiLODoC,Child Of The Ghetto,G. Dep,2001,album,,
1XlmWjTtE5YCmFx2x19Z4b,Ghetto Legend,G. Dep,9/7/10,album,,
1XrgcgLKGBpy9hKtsXvY56,Let's Get It (feat. P. Diddy & Black Rob),G. Dep,6/15/01,album,,
0iD0Zx1cTg8ZgefwNqUWJA,The Hiatus Deponomics,G. Dep,6/12/08,album,,
5iD8O73p6ALRM4XATCxT78,Bad Boy,"G. Dep, Loon",2/13/07,album,,
0tydd0V0o0cPsv5n2rjaWg,Crawl (Karriem Riggins Remix),"Gabriel Garzon-Montano, Karriem Riggins",4/11/17,album,1,duplicate
1QrYKuMTMLwpTwzOFhfnOk,Faith (with Dolly Parton) [feat. Mr. Probz],"Galantis, Dolly Parton, Mr. Probz",10/25/19,album,1,duplicate
4GReJagRcBTMq97kYMU7Zy,Faith (with Dolly Parton) [feat. Mr. Probz] [Acoustic],"Galantis, Dolly Parton, Mr. Probz",1/10/20,album,1,duplicate
7jMg8ueMqftiIxNkpvztWX,In the Room: Cruisin',"Gallant, Andra Day",6/27/17,album,1,
5ussET8E1V9NlqqMU4uV2p,Bourbon (feat. Saba & Lophiile),"Gallant, Saba, lophiile",6/16/17,album,1,
6QH3lzZB4MIpYGhuCISHKt,Both Worlds *69,Gangsta Boo,7/31/01,album,,
5NO9yCV2HynW4xBxIKrEYp,Enquiring Minds,Gangsta Boo,9/29/98,album,,
3ksPi4jOjAQuelRWOXd55b,MISS.COM - Single,Gangsta Boo,11/19/10,album,,
