album_uri,album_name,artist,release_date,album_type,remove,notes
5gX31aXiyY1wGO3ERA8HLk,Incustody,38 Spesh,6/7/08,album,,
3ipY7YKXQtVuvkQGup1JIN,Out On Bail,38 Spesh,7/15/07,album,,
50vLwcQk2ewfeOy2k8yrSS,The 38 Laws of Powder,38 Spesh,9/13/16,album,,
5ZrNomYhUD3tHgsHdlWmIi,The Art Of Production,38 Spesh,7/22/14,album,,
5wgu9mfU6X4B6Ak61XODNT,The Trust Tape,38 Spesh,5/26/15,album,,
0O1LjnS9QcYYr9CZgGANOs,The Trust Tape 2,38 Spesh,6/23/15,album,,
6zvz3LTXYohEFDjYmKu9WY,The Trust Tape 2 (Instrumentals),38 Spesh,6/30/15,album,1,duplicate
7gii3BdFnkiMCkYKrmrjPm,The Trust Tape 3,38 Spesh,4/19/19,album,,
1DavXQd1l9sjgtdYVONGb2,TimeServed,38 Spesh,7/23/13,album,,
2okuyzDt1boxzPRAvgOf7d,Cocaine Cowboys,"38 Spesh, Benny The Butcher",11/4/08,album,,
5RvhL6DMQKD2ikhVpepry8,Stabbed & Shot,"38 Spesh, Benny The Butcher",2/16/18,album,,
3JApJFSuxcsGPQmfKMvIs9,Upstate 2 Queens,"38 Spesh, Kool G Rap",5/11/18,album,,
44wdM7nJCx8UvdAuVnMfJQ,40 To Life Part 2,40 Cal.,1/6/09,album,,
3YMQi2GWaMLO7HVI5Nf12l,Broken Safety,40 Cal.,8/8/06,album,,
4p0OpiYix444YGxmRD33TU,Broken Safety 2,40 Cal.,9/11/07,album,,
5WDeIeSYjLqLakOXpQKpyl,Get the Fxck out My Trap,40 Cal.,7/12/19,album,,
2f7gfjnxuf3U737A03ao75,God's Gift To An iPod,40 Cal.,9/6/11,album,,
6WxsinNhv0z6AIf62cOd8I,Mooga,40 Cal.,8/4/08,album,,
21pP686bV5EGmybm5ZJgUT,The Yellow Tape,40 Cal.,4/1/08,album,,
6eZWy2xIhIaTOkKPynxNv5,Trigga Happy 3 aka Trigganometry,40 Cal.,3/15/11,album,,
6io53avLMKPf1KYjgfoh1G,Trigger Happy 2,40 Cal.,11/20/07,album,,
43SUCo9X3s70hkfZ26bPEW,Watch the Chrome,40 Cal.,5/29/12,album,,
2u1MesYjoO0fmvhOszd85l,We Getten Cashed Out,40 Cal.,9/27/16,album,1,duplicate
6PXjKZEFpMqrwjvYvNKN8N,We Getten Cashed Out (feat. Casper Capone & Eclipz),40 Cal.,4/28/17,album,,
2XjmEtOw1Pdtiucyf6eSAy,When I Ride By (feat. Killa A & OG Insane),"40 Cal., Casper Capone",1/26/18,album,,
