track_artists,album_name,track_uri,track_name,track_popularity
"Lecrae, Zaytoven",Let the Trap Say Amen,3Rmc1J4r9rG60101cOGg5B,Get Back Right,53
"Lecrae, Zaytoven",Let the Trap Say Amen,1JuHy82Wve8g4IPaffhnpV,Preach,40
"Lecrae, Zaytoven, K-So Jaynes, Waka Flocka Flame",Let the Trap Say Amen,0KZL4acx8yPfzMbZOweDts,2 Sides Of The Game,42
"Lecrae, Zaytoven",Let the Trap Say Amen,39IOO4FTsfgWQv537iuyF5,Plugged In,40
"Lecrae, Zaytoven",Let the Trap Say Amen,2VlZs4GZJtHwc7GndjPAX0,Holy Water,41
"Lecrae, Zaytoven",Let the Trap Say Amen,2YCbLZUHRF8ZJbBDru1v0M,Blue Strips,36
"Lecrae, Zaytoven",Let the Trap Say Amen,1C6L5Lir4LeWhkPo722Rs0,Only God Can Judge Me,38
"Lecrae, Zaytoven",Let the Trap Say Amen,5Iu4ApG4V5cQBH7F3uSJHK,Yet,36
"Lecrae, Zaytoven, 24hrs",Let the Trap Say Amen,6qPmaTUG1Qj0eWgnxYWy8G,I Can't Lose,39
"Lecrae, Zaytoven, ShySpeaks",Let the Trap Say Amen,3Il2r0XjWu0LH98JupTZQ8,Switch,36
"Lecrae, Zaytoven",Let the Trap Say Amen,6DewJYuLR3wRQpFv2866GF,Can't Block It,37
"Lecrae, Zaytoven, nobigdyl.",Let the Trap Say Amen,7Mpjmgr2WonQO2O566sTcC,Fly Away,37
"Lecrae, Zaytoven, Verse Simmonds",Let the Trap Say Amen,7DgQ7F8TgV6ZYkovedf8bJ,By Chance,35
Leikeli47,2nd fiddle,6qvNMkZunSZlzb5OgvssVs,2nd fiddle,23
Leikeli47,Acrylic,1hQIJnJ1GIbvpKaOUDuOrg,Walk-Ins Welcome,29
Leikeli47,Acrylic,0XfWFaFpr7wIPEhMkX78Lt,Acrylic,35
Leikeli47,Acrylic,4PmkC36OomgeCpCI4ltL1Q,Tic Boom,43
Leikeli47,Acrylic,6sdYSIvXEctorWXZ6cMM26,No Reload,37
Leikeli47,Acrylic,20Befu2qTvZv19YMJinWL2,Post That,51
Portier,Acrylic,1mKvQzZ70C7oWoGPNnSFs1,Let's Go Get Stoned (Portier's Vibe),33
Leikeli47,Acrylic,1lAGdqI4Wwa8G0XTP6VqHl,Girl Blunt,54
Leikeli47,Acrylic,3jfNKl6VlP963GjLWTJ4rS,Roll Call,34
Leikeli47,Acrylic,42cZsSpG3OuDzrXhjgfq1F,Kid Chocolate Radio (Skit),25
Leikeli47,Acrylic,0PiSzbiHDBqNnNGjoQ8FX1,Top Down,36
Leikeli47,Acrylic,4GwUsrqd40O8ovybW7F5x8,Hoyt And Schermerhorn,29
Leikeli47,Acrylic,3qMJ7Ek4Al0BeMnMAI6Ves,Iron Mike,36
Leikeli47,Acrylic,6Q2PQZqLvugFbZ8zIvzKOr,Droppin',38
Leikeli47,Acrylic,0l0aqAF1a5HA1FlN4Yh8NF,85 South (Skit),23
Leikeli47,Acrylic,4ZhNhOllhgcw3yAGgKibUT,CIAA,34
Leikeli47,Acrylic,4mDCzN7u6i77ARnByQWGjx,Talkin' to Myself,25
Leikeli47,Acrylic,4uxQIJ7M8Amt1juTgXcwM7,Bad Gyal Flex,31
Leikeli47,Acrylic,7J8p4KZGsqSvcKZpWG1O2f,Full Set (A New Style),28
Leikeli47,Acrylic,2RosMTMFwr0SrccLbstCFc,In My Eyes,24
Leikeli47,Attitude,0oXdoqeehKTDJ6YNWAhWAm,Attitude,28
Leikeli47,C&C,3crsErRuu5UJNQPPDGWSDw,C&C,22
Leikeli47,Leikeli47,2tNXPjqy7Fqr0j9j4GdjVK,Proverbs 22:6 (Skit),17
Leikeli47,Leikeli47,7nuThAsZnfWjOAUUBKDvEq,Two Times a Charm,25
Leikeli47,Leikeli47,7FbfvVLCqraAf8iPG67cwn,Drums II Clean,22
Leikeli47,Leikeli47,1ROhj4H32HO4PouvA86eCE,Heard Em Say,34
"Leikeli47, Biker Boy Pug",Leikeli47,7cEEYdFRWCKkA9SL536I3p,F**k The Summer Up,33
Leikeli47,Leikeli47,10f5kTQUAbqsG867AalEf8,Nastasha Sherry James (Skit),16
Leikeli47,Leikeli47,3PScp3DwDaL4w08XzZup1u,"Elian's Theme, Based On a True Story",24
