album_uri,album_name,artist,release_date,album_type,index_to_split,groups_to_split
3jqQFIXUakuDXdhFVvI7Ko,NAKAMURA,Aya Nakamura,2018-11-02,album,7806,7
7h7MqzSJ1wEXpjHzkevE6h,Journal intime,Aya Nakamura,2017-08-25,album,7807,7
75Y58W3tVyLOv1gOMXoNdq,Pookie (feat. Capo Plaza) [Remix],"Aya Nakamura, Capo Plaza",2019-08-30,album,7808,7
0jyCBzd1EswEJ3erS61cT3,Pookie (feat. Lil Pump) [Remix],"Aya Nakamura, Lil Pump",2019-08-02,album,7809,7
3CwheahvoLOZGt0JGA7mn2,Bébé,"ZK, Aya Nakamura",2019-04-05,album,7810,7
1sasCMcd2lo4F098mXKloq,Copines,Aya Nakamura,2018-08-24,album,7811,7
119qG6QCSXSmSV5jTVncMS,Djadja (feat. Afro B) [Remix],"Aya Nakamura, Afro B",2018-04-07,album,7812,7
0ZuAZosDtEP0YKvF7eRSlp,Djadja (feat. Loredana) [Remix],"Aya Nakamura, Loredana",2018-04-07,album,7813,7
76VGIFOKrF1rba6Xznep45,Djadja,Aya Nakamura,2018-04-06,album,7814,7
0tN7jPA44JL0c7RdjDRCRa,Le passé,Aya Nakamura,2018-03-02,album,7815,7
0siPkWnDowSgHYITTIbPCY,Drogué,Aya Nakamura,2018-01-26,album,7816,7
2U8JA1vDGpQKo7ZDy1DgXp,Comportement,Aya Nakamura,2017-06-05,album,7817,7
3hn46RDrEmoi4XhLjgdNjZ,Bad Vibes Forever,XXXTENTACION,2019-12-06,album,7818,7
2c6s84YTwR9cfncPmB9fNW,? (Deluxe),XXXTENTACION,2019-09-06,album,7819,7
4EeDFhIVRxOg4dx7ozSNXa,"XXXTENTACION Presents: Members Only, Vol. 4",XXXTENTACION,2019-01-23,album,7820,7
1qsQOC4Jn0fnaUZLAbs4dz,SKINS,XXXTENTACION,2018-12-07,album,7821,7
2Ti79nwTsont5ZHfdxIzAm,?,XXXTENTACION,2018-03-16,album,7822,7
5VdyJkLe3yvOs0l4xXbWp0,17,XXXTENTACION,2017-08-25,album,7823,7
7ifkO4gppMVf0HNy7JJDHn,"XXXTENTACION Presents: Members Only, Vol. 3",XXXTENTACION,2017-07-14,album,7824,7
1f8a8aLfreWLK8lH7t74ws,bad vibes forever,XXXTENTACION,2019-11-22,album,7825,7
0n2Pe7tA6N8hl7Qwo0FawG,HEARTEATER,XXXTENTACION,2019-10-22,album,7826,7
2rfqTGtJKFY3hJLuuTLA5A,#PROUDCATOWNERREMIX,XXXTENTACION,2019-08-20,album,7827,7
0PlIVDVVQdDmYijtQAMpIO,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",XXXTENTACION,2019-07-19,album,7828,7
53OzYwSgFnw45FrJ8qr6ix,Falling Down (Travis Barker Remix),"Lil Peep, XXXTENTACION",2019-07-11,album,7829,7
4BuW3ZVDpuEaxTkp85SYfM,RUN IT BACK!,"Craig Xen, XXXTENTACION",2019-06-12,album,7830,7
0YcBWlnJCLef8qsaHaFtfU,BAD!,XXXTENTACION,2018-11-09,album,7831,7
3YIUNL7qFE8NP3X3zaYSND,11:11,Maluma,2019-05-17,album,7832,7
6MoaDh76Fsg0ogW2l7HAFx,F.A.M.E.,Maluma,2018-05-18,album,7833,7
3PomvFR694SrCSZzDWMWV7,"Pretty Boy, Dirty Boy",Maluma,2015-10-30,album,7834,7
6aAnALBukLj6fVuwfnMkvc,PB.DB. The Mixtape,Maluma,2015-03-06,album,7835,7
14YMgKbaj0NVyvOckxX6AZ,Magia,Maluma,2012-08-07,album,7836,7
3qppmBh6lM8UXGTZF0dyTD,La Playa (Remix),"Myke Towers, Maluma, Farruko",2020-01-03,album,7837,7
1q8UCTOD6HHb477bNDnGaZ,Así Así,"Farina, Maluma",2019-11-22,album,7838,7
1KBjSVXv78mSvlJlm86MuX,FRESH KERIAS,"Feid, Maluma, Sky",2019-11-01,album,7839,7
1Db95k6t4rCPHSmdfsTeDl,Qué Pena,"Maluma, J Balvin",2019-09-27,album,7840,7
03nOUCfP5AwMD7cVEQwf9r,Hola Señorita (Robin Schulz Remix),"Maître Gims, Maluma, Robin Schulz",2019-07-05,album,7841,7
0S3696V7LiaqAJ3DKChAdL,Latina (feat. Maluma),"Reykon, Maluma",2019-05-31,album,7842,7
7tgIW2zpUkGwgiMMAIvDRx,Medellín (Remixes Pt. 2),"Madonna, Maluma",2019-05-09,album,7843,7
106SyrCt4mxTIyeXDF9Tgg,Medellín (Remixes),"Madonna, Maluma",2019-05-09,album,7844,7
4bdh63pvvFJr65eNeGLgcs,Hola Señorita,"Maître Gims, Maluma",2019-04-26,album,7845,7
4lKXaL7t6jn8V4nvmZ6ggZ,La Respuesta,"Becky G, Maluma",2019-04-19,album,7846,7
0kgDu06HbiED3MkVxZR7cq,Amigos Con Derechos (Versión Pop),"Reik, Maluma",2019-02-08,album,7847,7
6uSCXro7r0QMTSgMLnSAbP,Vivir Bailando,"Silvestre Dangond, Maluma",2019-01-25,album,7848,7
5foWbnLp2ieXuvdUNVnb8t,Vivir Bailando (Vallenato Version),"Silvestre Dangond, Maluma",2019-01-24,album,7849,7
2Vuq0IsELmGGmdoBqvgaYC,Mala Mía (Remix),"Maluma, Becky G, Anitta",2018-12-21,album,7850,7
4pCLlUxlKj3pNVdBtFyhrU,Peace Is The Mission (Extended),"Major Lazer, Diplo",2015-11-27,album,7851,7
4GqxSX8XBO10J8o4FomkBK,F10RIDA,Diplo,2014-12-01,album,7852,7
4c7lxBZCbR8SQsoVvO2lCb,Random White Dude Be Everywhere,Diplo,2014-07-29,album,7853,7
1OVl2Lg0VD1gbBc9Xol8rA,Decent Work For Decent Pay,Diplo,2009-01-26,album,7854,7
5W6DaTWwEqOQMdLjTHxf50,Florida,Diplo,2004-08-23,album,7855,7
4U6s7hJ9p3yXaRmRcuhBVs,JustYourSoul (Tchami Remix),"Valentino Khan, Diplo, Tchami",2020-01-10,album,7856,7
2K6LPaMLgd09XsEK4YMD9X,Samba Sujo (Remixes),"Born Dirty, Diplo",2019-12-06,album,7857,7
3UuXPv0M71CU6m3On0wIwb,Nice To Meet Ya (Diplo Remix),"Niall Horan, Diplo",2019-11-07,album,7858,7
0qhDOg03LXlDRN1bcyWNTI,More (Diplo Remix),"Kaskade, Felix Cartal, Diplo",2019-09-20,album,7859,7
4YEes0AZtUChqtLBwaQLzh,Heartless (feat. Morgan Wallen),"Diplo, Morgan Wallen",2019-08-16,album,7860,7
3nvBHclmSjO7C451be5Wf6,Give Dem (Kaskade Remix),"Diplo, Blond:ish, Kaskade",2019-08-06,album,7861,7
2nekwMrMt6Y1YG4rHlFH07,JustYourSoul,"Valentino Khan, Diplo",2019-07-12,album,7862,7
6QPNg1hQe4d265FoHOSA1b,Higher Ground (Remixes),Diplo,2019-06-27,album,7863,7
2Im5nEeVFQny2YpBz0pgF2,17 - EP,Zhavia Ward,2019-06-14,album,7864,7
1m8eXQqp3QCQyR56fgbm6o,"A Whole New World (End Title) [From ""Aladdin""]","ZAYN, Zhavia Ward",2019-05-09,album,7865,7
2VJvqPx7txsKUYEnS5lUc3,Candlelight (feat. Jeremih) [Remix],Zhavia Ward,2019-01-11,album,7866,7
0YuFgG7YGGwjXkCdTzdkNM,100 Ways,Zhavia Ward,2018-12-12,album,7867,7
5cgvz0IdymErcgwHcsh58u,Deep Down,Zhavia Ward,2018-08-30,album,7868,7
2sxxyNP7issbyqUCooWOXK,Candlelight,Zhavia Ward,2018-07-26,album,7869,7
4knONNhnVhrlOUMXV0ozRO,Man Down (The Four Performance),Zhavia Ward,2018-02-09,album,7870,7
6iQ6hPcv8TOgiq8XygKLqk,Say Something (The Four Performance),Zhavia Ward,2018-02-02,album,7871,7
6F9XNl0j8yAW8hHHQkBKvs,Killing Me Softly With His Song (The Four Performance),Zhavia Ward,2018-01-19,album,7872,7
3JqE5hPGvvh9jNSF7jqaXI,Unforgettable (The Four Performance),Zhavia Ward,2018-01-04,album,7873,7
0TvK6VCYiE40YXiaaD3w1h,Pony (Eliminate Remix),"Valentino Khan, Eliminate",2020-01-17,album,7874,7
0SqCDpgRqUfNd1aTCsH5M1,Rainforest (Valentino Khan Remix),"Tchami, Valentino Khan",2019-10-18,album,7875,7
52gC6xVVIfDYgrjVFAQS4m,House Party,Valentino Khan,2019-08-09,album,7876,7
7nA8XWvItL9frgUapq65ma,Flip The Switch,"Valentino Khan, Chris Lorenzo",2019-08-08,album,7877,7
4WgUj2Fx2kwByi02bUb1lY,Break Your Neck (Pt. 2 VIP),"Good Times Ahead, Valentino Khan",2019-04-12,album,7878,7
25nyfrSL8KrKp5UBPpkI0y,Novocaine,"Valentino Khan, Kayzo",2019-01-16,album,7879,7
7bRyUSciwYwFWLTWw9rEi7,Feel Your Love,Valentino Khan,2018-07-20,album,7880,7
1iKNOXPM3gWr1Js2Dt8C81,Lick It (Remixes II),Valentino Khan,2018-06-08,album,7881,7
1i9t5lMuHOGZ6mqwzlTN0M,Lick It (Remixes I),Valentino Khan,2018-06-01,album,7882,7
6mDIIT6OQKpvdzmPV4Xn82,Lick It,Valentino Khan,2018-03-16,album,7883,7
4j2feVMCzOeduTxa3aA3tG,Gold (Remix),"Valentino Khan, Sean Paul, Justin Quiles",2018-01-26,album,7884,7
4lg36x5WfwxGeTKYq09Ljw,Gold (Perto Remix),"Valentino Khan, Sean Paul, Perto",2018-01-25,album,7885,7
108kdS4tGQLkHz2PHUMpN9,Pump,Valentino Khan,2017-05-26,album,7886,7
07mi5qvHBEsxpF5AxJLZu9,Hello,Valentino Khan,2017-04-21,album,7887,7
1825xn0WdT9PsMtSNqopma,Tropicana,"Valentino Khan, Wiwek",2016-01-15,album,7888,7
2P63KJNeC3DwaLpw8KHYqE,Ultralife,Oh Wonder,2017-07-14,album,7889,7
37ABUtLPqktcopsBJ7jmXT,Oh Wonder,Oh Wonder,2015-09-04,album,7890,7
7A6J3WEO0ibOscMcHZlBpG,Happy (Acoustic),Oh Wonder,2020-01-23,album,7891,7
6WiFjIHbOvQB6t8scEDlkM,Happy (Joe Goddard Remix),"Oh Wonder, Joe Goddard",2020-01-10,album,7892,7
5WcnEz9vhNjIlIu0sv0hJZ,Happy,Oh Wonder,2020-01-03,album,7893,7
08zgrixDuu7cQJ5AJO0KHW,This Christmas,Oh Wonder,2019-11-29,album,7894,7
2bWrP5Lo6BJZaxjiAjbNCu,I Wish I Never Met You,Oh Wonder,2019-11-14,album,7895,7
2sQtAa8qvNEAdKwYgzmVPI,Better Now,Oh Wonder,2019-10-25,album,7896,7
76q1o1t2H4PEM4U33u5R8v,Hallelujah (Acoustic),Oh Wonder,2019-10-04,album,7897,7
3mDLdVEJTHCKaF6WaDcG6m,Hallelujah (Unplugged),Oh Wonder,2019-09-20,album,7898,7
6x8tzop53PDl2tvjIXB9a0,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix],"Lil Uzi Vert, Nicki Minaj, Oh Wonder",2017-11-03,album,7899,7
7suXftYhoZxndiA5w1vLFJ,Lifetimes (Everything Everything Remix),Oh Wonder,2017-10-26,album,7900,7
732yrLQduH3kcXUVfp8hCA,High On Humans (Abbey Road Piano Sessions),Oh Wonder,2017-06-23,album,7901,7
43vm9cEhZygcGFIlylv4iw,Ultralife (Abbey Road Piano Sessions),Oh Wonder,2017-05-26,album,7902,7
