album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
7w2QVs9EDM1kMmuibugdBs,1123 (Deluxe Edition),BJ The Chicago Kid,11/22/19,album,0,NA,678,2
0AGDkZ45Wkqewuu99oOnNx,Church (The Chicago Remix),BJ The Chicago Kid,1/29/16,album,0,NA,679,2
0NRgsBZ8MG3fKuhmJK7clA,Close,BJ The Chicago Kid,3/22/19,album,0,NA,680,2
6PsoiF3rH1gANT3leC6U6I,Good Luv'n,BJ The Chicago Kid,1/1/12,album,0,NA,681,2
15iSR05cslUeYgf2kuWDhu,In My Mind,BJ The Chicago Kid,2/19/16,album,0,NA,682,2
4pvwu4knU89MaUtSOnzDqz,It's True,BJ The Chicago Kid,12/23/14,album,0,NA,683,2
2pGf7mMaV60uMDchGAMcXF,Pineapple Now-Laters,BJ The Chicago Kid,2/21/12,album,0,NA,684,2
69Tk7zvEEEwMj6xNxg7zuC,Reach,BJ The Chicago Kid,6/28/19,album,0,NA,685,2
18hAwjZWzcfnjUtOPtwRmT,Roses,BJ The Chicago Kid,2/13/17,album,0,NA,686,2
1MsIQAGvJyWwNKvAaeMERU,That Girl,BJ The Chicago Kid,7/13/15,album,0,NA,687,2
35Yz9jgMZxkHcZrxBuxmjL,The Opening Ceremony,BJ The Chicago Kid,5/11/18,album,0,NA,688,2
4XmIG6EqLRDjTGsG0i8Bu5,Time Today,BJ The Chicago Kid,4/26/19,album,0,NA,689,2
7nRAxltoDl6zGonYu4V60Y,"Where Do We Go from Here (From the TV Series ""Shots Fired"")",BJ The Chicago Kid,7/7/17,album,0,NA,690,2
1mShT1BfBAHrOBjiqiMxAR,Worryin' Bout Me,BJ The Chicago Kid,5/31/19,album,0,NA,691,2
2hA9pr8kwJ4haAAstHtE3n,Time Today (Remix),"BJ The Chicago Kid, Ari Lennox",10/9/19,album,0,NA,692,2
1fF2G7cQgaQvm9vHW8QVtj,Cut Up (feat. Tory Lanez) [Remix],"Blac Youngsta, G-Eazy",9/27/19,album,0,NA,693,2
2ZQedN95ddF8NpF2t7DGhn,Album Of The Year,Black Milk,9/14/10,album,0,NA,694,2
4QcQ69Gukr9Gi6hTGFYajo,Black NASA (feat. Sam Austins),Black Milk,7/26/19,album,0,NA,695,2
5m2qwWUcDE8SvSFt4UDhNg,DiVE,Black Milk,8/2/19,album,0,NA,696,2
3AeUmBLQpCnoRPZT6Y49KN,Glitches in the Break,Black Milk,3/4/14,album,0,NA,697,2
7IoqPPJ57314tLREX9zkHm,If There's a Hell Below,Black Milk,10/28/14,album,0,NA,698,2
7r7VUcC7fxbnOMxPLIaAjd,If U Say (feat. BJ The Chicago Kid),Black Milk,7/12/19,album,0,NA,699,2
19pFdxG3feVWRFoXDJjPpM,No Poison No Paradise,Black Milk,10/15/13,album,0,NA,700,2
1znjVVq7dP6mPOQtykYWPO,Popular Demand,Black Milk,3/13/07,album,0,NA,701,2
2ZX3Aou6Wlfyn32GgocdNd,Sound Of The City,Black Milk,11/16/05,album,0,NA,702,2
0Iio7GeHs2efmJqbShki0H,Synth Or Soul,Black Milk,4/20/13,album,0,NA,703,2
7AqGXJqouYwso3XWF00zV4,Tronic,Black Milk,10/28/08,album,0,NA,704,2
61KN8iSYTZq58bfsCfEwiZ,Black And Brown,"Black Milk, Danny Brown",11/1/11,album,0,NA,705,2
17QnmPyACfAXGbJAmHMiO3,Sunday Outtakes,"Black Milk, Nat Turner",11/18/16,album,0,NA,706,2
6WoHpfnPOr4ES4YTXsxcJs,The Rebellion Sessions,"Black Milk, Nat Turner",4/4/16,album,0,NA,707,2
6cJi6GDTcSuscSFfFTBUFS,"Game Tested, Streets Approved",Black Rob,7/26/11,album,0,NA,708,2
40G9NWd3onPgMSTWE4dqbz,Genuine Article,Black Rob,4/17/15,album,0,NA,709,2
1MSBtKtGF1VLBtSLgwcwKR,Life Story,Black Rob,2000,album,0,NA,710,2
2nUO0xg13J4Yp43uvpFKhN,The Black Rob Report (Explicit Version U.S. Version),Black Rob,10/18/05,album,0,NA,711,2
4Nquai3rRm3frux0ycE5nl,Whoa!,Black Rob,2/15/00,album,0,NA,712,2
7LFRRV8HjAAnQK4bcv9Q2W,Conception,Black Thought,11/19/18,album,0,NA,713,2
6EIrpRzYiofT9QbeaVgw7y,Rest In Power,Black Thought,7/23/18,album,0,NA,714,2
0OfCK3eQBEwOtcULcehyut,Streams of Thought Vol.1,Black Thought,6/1/18,album,0,NA,715,2
1L1SSfkoImgOBWYQAwONRT,Streams of Thought Vol.2,"Black Thought, Salaam Remi",11/26/18,album,0,NA,716,2
1Rnwy1YVrQ9mwGim1sxy5i,Blocks Hot (feat. Giggs),"Blade Brown, Giggs",7/18/19,album,0,NA,717,2
3j4i57h27H5HCz0SrjscIH,Militant Minds,"Blak Madeen, Tragedy Khadafi",9/20/12,album,0,NA,718,2
3TGLjNsTCeAZZYoqmE5sR9,Chemdream (feat. Aston Mathews),"Blended Babies, Chuck Inglish",4/11/16,album,0,NA,719,2
6vtIg3H1oQIFIAwZ6vDxWb,Lorine Chia EP,"Blended Babies, Lorine Chia",12/16/16,album,0,NA,720,2
5Ha42NhWHiUn23pk80YPoQ,ChopBloc 2 (feat. NLE Choppa),BlocBoy JB,10/3/19,album,0,NA,721,2
1Vn6MUy9s3dZfD43B3qEiO,Don't Think That,BlocBoy JB,10/30/18,album,0,NA,722,2
4pAz6zuQCyAXFGpVE1yhi6,I Am Me,BlocBoy JB,6/14/19,album,0,NA,723,2
0KLd4Sq4wgvzWqkdpwg7au,Nun Of Dat (feat. Lil Pump),BlocBoy JB,5/2/18,album,0,NA,724,2
53zfPOYV1ziCaEuNwDdqvi,Produced by Blocboy,BlocBoy JB,4/18/18,album,0,NA,725,2
6TSJdU7bTsYpysT7EN3HLk,Rover,BlocBoy JB,2/9/18,album,0,NA,726,2
6NrsgXTJ3x2RRR8b0v2M7S,Simi,BlocBoy JB,5/4/18,album,0,NA,727,2
0GNeGUkYXwXX6mRXSC3MwQ,The Purple M&M,BlocBoy JB,9/12/17,album,0,NA,728,2
5vCT8VY0nSeLUZge8NRVMZ,Who Am I 3,BlocBoy JB,10/28/17,album,0,NA,729,2
091cZVoTJrlORPHFyuJQFi,Rover 2.0 (feat. 21 Savage),"BlocBoy JB, 21 Savage",3/23/18,album,0,NA,730,2
7GGoJfKFOwDNuiLjjfzyCS,Look Alive (feat. Drake),"BlocBoy JB, Drake",2/9/18,album,0,NA,731,2
3KLLRiCnqYvt78H52TeZ1k,Angel's Pulse,Blood Orange,7/12/19,album,0,NA,732,2
7KQqJPxp4l2ZdvYrI57dE1,Black History,Blood Orange,2/16/18,album,0,NA,733,2
3wKNlZFh9aqwstMPfo3aWi,Champagne Coast,Blood Orange,12/6/11,album,0,NA,734,2
7wU38sQ2otc8c7Yc8R8cRD,Chewing Gum (Edit),Blood Orange,8/23/18,album,0,NA,735,2
5U2cyX2FRa8CjzdMpqZNJl,Coastal Grooves,Blood Orange,8/30/11,album,0,NA,736,2
1bsLkHcWAGUao6Z1dHOEIB,Cupid Deluxe,Blood Orange,11/18/13,album,0,NA,737,2
0AcrAohV4oFp6tgrkq8nAn,Dinner,Blood Orange,6/12/12,album,0,NA,738,2
3Z2XUjgVj5ZkCGpU7b2qtY,Freetown Sound,Blood Orange,6/28/16,album,0,NA,739,2
6XxwSieoB3DO5KKZKaheIV,Is It All Over My Face & Tower of Meaning,Blood Orange,12/2/14,album,0,NA,740,2
7bvmGyFDwpHNRRRZJ0AHvn,Negro Swan,Blood Orange,8/24/18,album,0,NA,741,2
0rfKOWpV2CSQz9DL40lPiF,Sandras Smile,Blood Orange,10/27/15,album,0,NA,742,2
3LHveQRleXZYsW4qSYvT1u,Sutphin Boulevard,Blood Orange,6/21/11,album,0,NA,743,2
69TdTeE1Ge0sQnJ0BNvtXv,Uncle ACE (Remixes),Blood Orange,4/10/14,album,0,NA,744,2
2gHdg26eOQzbHM9DN15BDW,Smoke (Remix),"Blood Orange, Yves Tumor, Ian Isiah",8/17/18,album,0,NA,745,2
1K9AzHiiydbY148Zu9DiQj,Ground & Water,"Blu, Damu The Fudgemunk",8/16/19,album,0,NA,746,2
5wvkVvQ2CU3faQ2QOLqLFM,"Gods in the Spirit, Titans in the Flesh","Blu, Nottz",4/13/18,album,0,NA,747,2
5xsd5cwEdLvpBKkW8tx6DX,Titans in the Flesh,"Blu, Nottz",7/15/16,album,0,NA,748,2
6M9ZSsSSBt3cT9TCAGzNKv,Yesterday (feat. Sene & Elisa Meri),"Blu, Nottz",3/27/18,album,0,NA,749,2
5UirJmOQE31kit8wfe8HLb,A Heap Of Broken Images,Blue Sky Black Death,5/23/06,album,0,NA,750,2
68tFPxHKQQVTqvVoXCZgQI,Euphoric III,Blue Sky Black Death,11/13/14,album,0,NA,751,2
1paVuwdEQczNy0eqK7RwJw,Euphoric Tape,Blue Sky Black Death,11/12/14,album,0,NA,752,2
0AqckrcnKHMOQiuwtApPm2,Euphoric Tape II,Blue Sky Black Death,11/13/14,album,0,NA,753,2
4AiBufgvo1kj3w0xFgu41v,Glaciers,Blue Sky Black Death,10/1/13,album,0,NA,754,2
0BqCQwGFcPXkdNqajk18yS,Jean Grae: The Evil Jeanius,Blue Sky Black Death,9/30/08,album,0,NA,755,2
5OLGAAYCiEnt0Xa22rTSg7,Late Night Cinema,Blue Sky Black Death,4/29/08,album,0,NA,756,2
2IchQGTsafAKTpA4Uf3KVV,Noir,Blue Sky Black Death,4/26/11,album,0,NA,757,2
3227X5oBgqSJbXSOCqI5ic,Slow Burning Lights,Blue Sky Black Death,11/11/08,album,0,NA,758,2
15bA5PwC1WfGAnygsFigAH,The Holocaust,Blue Sky Black Death,9/5/06,album,0,NA,759,2
1dK9RDQb86HFiqeqFYfi9w,"The Ocean (feat. Holocaust) (12"")",Blue Sky Black Death,12/21/10,album,0,NA,760,2
6kkLiYplfLzksUmW9TKOu0,Third Party,Blue Sky Black Death,9/7/10,album,0,NA,761,2
5UrqvYi01zflpnRVv88z1k,Like To Party,"Boj, Skepta, Teezee",10/26/18,album,0,NA,762,2
17SgHQpEV9zMTLOjJJkA3l,Bone 4 Life,Bone Thugs-N-Harmony,2/22/19,album,0,NA,763,2
2p5Zyx6U4pMRQMog7f45df,Everyday Thugs,Bone Thugs-N-Harmony,6/30/11,album,0,NA,764,2
06XyRJJ2Ic4Fqiec1DIqow,For Smokers Only,Bone Thugs-N-Harmony,6/30/11,album,0,NA,765,2
