album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
6CNwXxGCLQtWhG2VHOuiib,Effected,Cozz,2/13/18,album,0,NA,1355,3
6xCWwC0UhmqZgYsM4J9B6Q,My Side,Cozz,5/20/16,album,0,NA,1356,3
3bKoSBBveOM1ORjJ4pgOFz,Dont Worry Mack Tonite,Craig Mack,6/15/18,album,0,NA,1357,3
7mYcq3B0faiA5IvhDCdypL,Flava In Ya Ear Remix,Craig Mack,1994,album,0,NA,1358,3
7avi4oXSlvXSCQr9ORuFdJ,Get Down (Remix),Craig Mack,6/15/95,album,0,NA,1359,3
0SgajP21lioZksmbPtXyPu,Operation: Get Down,Craig Mack,9/16/97,album,0,NA,1360,3
6BtFnL80q39q0OcSBroqwy,Project: Funk Da World,Craig Mack,1/1/94,album,0,NA,1361,3
5gpYXnZeyiEDIWcJvZ1IIz,The Mack World Sessions,Craig Mack,9/1/17,album,0,NA,1362,3
3xXNiSv4ngVQ8hMFWnRPfO,What I Need Remix,Craig Mack,5/5/19,album,0,NA,1363,3
7joTVH51zEi7ipFVzpMyWy,Bare Flesh,Craig Xen,5/1/16,album,0,NA,1364,3
2XnaOt0UUaCwPd3L2HNnbo,Broken Kids Club,Craig Xen,6/19/19,album,0,NA,1365,3
7st5xJF5PPjYcs6gi5yKNd,Chopstix,Craig Xen,8/25/18,album,0,NA,1366,3
1ApKSqL9HrJqgiHMF987DO,Hell Bent,Craig Xen,5/18/18,album,0,NA,1367,3
0FiPwOsOv3HwaLw7hs7ODJ,Killa (feat. Yung Bans),Craig Xen,5/10/18,album,0,NA,1368,3
0jWHJx7oKa0M1AldMy0l89,ROOTED,Craig Xen,10/28/19,album,0,NA,1369,3
5uZLZWQ7RbSFYiTH5Ruwhi,Stain (feat Ski Mask the Slumpgod & Smokepurpp),Craig Xen,9/7/18,album,0,NA,1370,3
0UBd1fXiG7fUszuxTXbyCS,Succubus,Craig Xen,11/1/16,album,0,NA,1371,3
0m57SK2fX6l1F2bDhddjLe,Voltage,Craig Xen,10/6/17,album,0,NA,1372,3
2riI5LNaJkkDDtMPLkfWDa,Fall in Love,"Craig Xen, Diablo",10/8/19,album,0,NA,1373,3
4BuW3ZVDpuEaxTkp85SYfM,RUN IT BACK!,"Craig Xen, XXXTENTACION",6/12/19,album,0,NA,1374,3
