album_uri,album_name,artist,release_date,album_type,index_to_split,groups_to_split
4TiwM7jThFC3HHRrNGlFGF,This,"Modeselektor, Thom Yorke",2012-05-11,album,9106,8
1RnTzsTrUHqbdbIah30UUj,Shipwreck,"Modeselektor, Thom Yorke",2011-11-04,album,9107,8
5eTOKqdal365pAp6j9Gkhw,Hearing Damage,Thom Yorke,2009-10-18,album,9108,8
2qcqK5kjVjPZvBtP72fiLN,FeelingPulledApartByHorses,Thom Yorke,2009,album,9109,8
5ij68w0mex6ZM0Y8qF8ycl,Spitting Feathers,Thom Yorke,2006-08-21,album,9110,8
6dEQiC6VqhEDFdZOGSsAeM,Beat Journey,Dr Who Dat?,2006-08-28,album,9111,8
2AdYWiMAoIVGBGn0OKAqRi,Akinyele Live At The Barbecue - Unreleases Hit's,Akinyele,2004-04-22,album,9112,8
1kPTkzGFNblLCDJLZRyEw1,Benny Ill,Akinyele,2001-07-10,album,9113,8
6aQCSkAxnpHcfBhivwc1Hd,Aktapuss (The Soundtrack),Akinyele,1999-11-23,album,9114,8
6Wqglh6BW0p6VudsdSUX69,Aktapuss,Akinyele,1999-11-23,album,9115,8
7vL0p9cpy0kgWY4ISrYO93,Put It In Your Mouth,Akinyele,1996-09-02,album,9116,8
4yn440my0xbQEb1ueTBVB8,Put It In Your Mouth (EP),Akinyele,1996-08-13,album,9117,8
76u396s7DhFQC610E1nCZ7,And The Winner Is... (with Hitman Howie Tee),Chubb Rock,1989,album,9118,8
4sURp6gbOhdqvmVa9f7TDI,Chubb Rock (feat. Hitman Howie Tee),Chubb Rock,1988,album,9119,8
414C3ix8leDrguSL6CAL8z,Party Planner b/w Rock With Me,"Mighty Chubb, Mighty Mi, Chubb Rock",2019-10-11,album,9120,8
1JfeXWSGwrSuirLWsETKpZ,Summertime Anthem (Featuring Chubb Rock),"Eric Roberson, Chubb Rock",2011-08-16,album,9121,8
6gWzlZUADFvwOPs93Q2Ztb,Treat 'Em Right (Re-Recorded / Remastered),Chubb Rock,2009-09-01,album,9122,8
4uCPG568txEcWAZX6s7etw,Treat 'Em Right,Chubb Rock,2009-04-06,album,9123,8
0w1mSr25ZQ3kCqszorPqFT,Edibles,Count Bass D,2019-11-15,album,9124,8
0FTS691vK6zZMVvKPHOk9b,Instantly New,Count Bass D,2016-03-15,album,9125,8
0KFI9ZW5eySSGEZXc0rme6,Instantly New (Instrumentals),Count Bass D,2016-03-15,album,9126,8
608OA4q48ACK8OCJFXwqbA,Dwight Around Your Lips,Count Bass D,2016-02-16,album,9127,8
42cPYyQDf07CsddzDPWTat,Cloak and Dapper,Count Bass D,2015-08-25,album,9128,8
1GdPkzFZcEDTmEDyR1O3hc,The Count in Cologne,Count Bass D,2014-08-01,album,9129,8
0xToC5Rj8R3e6qHYlIpXSf,Handshake vs. Dap,Count Bass D,2014-04-21,album,9130,8
2SCBG3gmLVBkzYkLIKRZtH,Sorrow,Count Bass D,2013-08-13,album,9131,8
6bpL0Lxng4dZzYc9Uqwujs,Some Music 6,Count Bass D,2013-07-01,album,9132,8
1uTD9XpjDlogjamws9yfyh,Grandmaz Nutz,Count Bass D,2013-05-10,album,9133,8
1NCpSv4Vqj3L2YCNeYnGzq,In This Business,"Count Bass D, DJ Crucial",2013-05-07,album,9134,8
3UCfAGBDNaJsfUGvMZYnKJ,Promises,Count Bass D,2013-01-16,album,9135,8
0mj7JC2MD55VMIr412JlzC,The T.S.,Count Bass D,2012-11-13,album,9136,8
4vfd9snSlc8iFI9VtiWjve,Gibraltar (5 of 5),Count Bass D,2012-08-25,album,9137,8
1e9Y0HXGrv1UR7bEVyMcTn,Magnificent (4 of 5),Count Bass D,2012-07-05,album,9138,8
34VRJy8IRhUcG0pOj6TJrQ,Kush (3 of 5),Count Bass D,2012-05-08,album,9139,8
06QJELxHzXrmq6nA1tLEnm,Hezekiah II (2 of 5),Count Bass D,2012-03-28,album,9140,8
1sEJdsH4xTZt10m9YKgSdN,Cana (1 of 5),Count Bass D,2012-03-06,album,9141,8
1Bhyyfy0Hkp2DpJWKzLfQ0,Mic & Ike,Count Bass D,2011-12-18,album,9142,8
3suLnHN9eyXtirQmmCHroo,Some Music Part 7 (Dwight Yoke Them),Count Bass D,2011-11-08,album,9143,8
