album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
55XA1uIQSqmlTBkVVx6ptz,A Love Letter To You 2,Trippie Redd,10/6/17,album,0,NA,6094,10
6qRbGZqJ3aQY8N8bcHc1ug,A Love Letter To You 3,Trippie Redd,11/9/18,album,0,NA,6095,10
0tKX7BLXiiRgXUKYdJzjEz,A Love Letter To You 4,Trippie Redd,11/22/19,album,0,NA,6096,10
214f4uAY0p2KgY7Fl4fBgk,LIFE'S A TRIP,Trippie Redd,8/10/18,album,0,NA,6097,10
6DNpFe4WAWTa84I6JBuey6,Love Me More,Trippie Redd,11/1/19,album,0,NA,6098,10
2HLwLpyTKv5C2ezhxYuQ5U,Mac 10,Trippie Redd,7/24/19,album,0,NA,6099,10
6ayA69JRJzCvDGeZir7Ysr,Who Needs Love,Trippie Redd,11/19/19,album,0,NA,6100,10
2orYogfKeURqyS1hRP1vZ4,YELL OH,Trippie Redd,2/7/20,album,0,NA,6101,10
0wb2DaHDhLUUS5RRFa26U9,Death (feat. DaBaby),"Trippie Redd, DaBaby",11/12/19,album,0,NA,6102,10
4wjwgVjWzrMv7Tp8w9Rmnd,YELL OH (feat. Young Thug),"Trippie Redd, Young Thug",2/7/20,album,0,NA,6103,10
1LMkLxb0XN92GTbsXGbRi9,16,Trouble,6/23/17,album,0,NA,6104,10
53H8Ei8dcTwUqJMugbWEOY,#ZayDidIt,Trouble,6/16/15,album,0,NA,6105,10
4CBVPJ46y9R6jrBu5dIOQG,431 Days,Trouble,12/17/14,album,0,NA,6106,10
33phJF4Rj1j8yD4jYsIdIn,All On Me (Deluxe Edition),Trouble,12/17/14,album,0,NA,6107,10
4PJs0oIt7BALg0VJZmG2gF,Buy Yo Traphouse,Trouble,3/15/19,album,0,NA,6108,10
4LmF1yl5WxsuKjeidx8Tai,December 17th,Trouble,12/17/14,album,0,NA,6109,10
5tQYWXfOIK4Px1HItJH2nL,Dicembre,Trouble,1/27/20,album,0,NA,6110,10
7DAzggcS7t9VxcQay6NSD2,Dig,Trouble,10/13/16,album,0,NA,6111,10
0cc6rEMCxzL3BBBrFXF5W4,Greenlight,Trouble,12/17/14,album,0,NA,6112,10
5eZNvdY3VWgcNZjrAQK9hS,She A Winner,Trouble,6/14/19,album,0,NA,6113,10
3dDeyzynx77BmwPyuGihti,Skoob Fresh,Trouble,10/12/15,album,0,NA,6114,10
707RiexpX2kKY70L0iMv2p,Skoobzilla,Trouble,5/5/16,album,0,NA,6115,10
53ijqtR9DfrWwrHU2bmegb,The Return of December 17th,Trouble,6/6/16,album,0,NA,6116,10
3clSqPdD8vYGpGM9MmUl1x,Who You Kiddin,Trouble,11/25/16,album,0,NA,6117,10
2YvvNcuDFtSiP7lCGVREKl,ZayDidit,Trouble,7/6/15,album,0,NA,6118,10
4s5uzm05Xu09mBKv9E58x1,Edgewood (41E Edition),"Trouble, Mike WiLL Made-It",10/26/18,album,0,NA,6119,10
1lEfbBumXFp805IqUnbis5,Almost There,Twelve'len,12/3/17,album,0,NA,6120,10
4Hqb6kbvQEumVbmRFZoo3N,Gallery,Twelve'len,2/21/18,album,0,NA,6121,10
1mtn5IwEoJfqd2Uz9QUEdC,Human Gods,Twelve'len,5/5/17,album,0,NA,6122,10
1FWupKdDhamog8BOWxaJkh,Let's Stay,Twelve'len,8/7/18,album,0,NA,6123,10
6hS23Z1ynIteKztXM9xD2h,Loyal,Twelve'len,12/13/19,album,0,NA,6124,10
6Zab620LHhbzke3sfyuwvu,Star Dust,Twelve'len,10/11/16,album,0,NA,6125,10
4a7bleHV26fUPUqyMv2aHP,Swim,Twelve'len,12/22/17,album,0,NA,6126,10
3VPmuOlPynwbbg37OYIgCj,Thank the Gang (Remix),Twelve'len,10/1/19,album,0,NA,6127,10
5sA7Ydx9IIF8ZeOdyxjzay,Jewls,"Twelve'len, K. Charles, Tund3",2/13/20,album,0,NA,6128,10
5lyK1KDkWxKBrlCbGmpJ7f,Category F5,Twista,1/1/09,album,0,NA,6129,10
5BR07pFGzEw2Y5kI1NNd3u,Crook County,Twista,7/7/17,album,0,NA,6130,10
3JQSbj4Kh3N8JASlIaos7N,Livin Legend,Twista,12/18/15,album,0,NA,6131,10
3RDxC3HdxxMZbMh1QIhuMC,Mobstability Ii: Nation Bizness (Explicit Version),Twista,5/27/08,album,0,NA,6132,10
1zEYmX4jkf2m9byUcz4iJX,Reloaded,Twista,9/15/17,album,0,NA,6133,10
3a6MFtEA7lPEZp2o4MVK0t,Soft Buck Vol. 1,Twista,9/2/08,album,0,NA,6134,10
0nBXe6owj1w6DMjpTjEPhP,Summer 96,Twista,6/28/19,album,0,NA,6135,10
0PAmlc1jkSg2d6G8UVQOJn,The Black Jason Of Rap,Twista,11/6/07,album,0,NA,6136,10
6LrXHeIsgZeIbxwycuZcTS,The Dark Horse,Twista,8/12/14,album,0,NA,6137,10
2JODu0kNUN3YjnUCM4HsrN,The Perfect Storm,Twista,11/9/10,album,0,NA,6138,10
2wtx5XeYMFOpY40eK9f7fA,Beach House 3 (Deluxe Edition),Ty Dolla $ign,5/11/18,album,0,NA,6139,10
7bSsdgWDh5VRI3ZVOXQEj4,Campaign,Ty Dolla $ign,9/23/16,album,0,NA,6140,10
5smHQ1uTrerU8DyRaqTyxh,Free TC (Deluxe Edition),Ty Dolla $ign,3/25/16,album,0,NA,6141,10
7nP87PXdPv4oPYKWRc5x1z,Hottest in the City,Ty Dolla $ign,8/9/19,album,0,NA,6142,10
5tcLbrane4ipoQy0liSuNH,Purple Emoji (feat. J Cole),Ty Dolla $ign,5/20/19,album,0,NA,6143,10
4hbH0f6g6wrrLfmKIPNxxG,Careless,Ty Nitty,11/8/19,album,0,NA,6144,10
619QnQqLIv8OmkjMktO5yZ,Daddy and the Daughter Song (feat. Kaedyn Simone),Ty Nitty,1/8/17,album,0,NA,6145,10
3hF7yvyuH1UENbER0acdTg,Demonstratin,Ty Nitty,11/14/19,album,0,NA,6146,10
6C2U3vyothUMjefiDyun1t,International Ty,Ty Nitty,2/11/10,album,0,NA,6147,10
1PlT0UQGEKfVwp7biE7crA,Money Type Shhh,Ty Nitty,11/11/19,album,0,NA,6148,10
00qsk8Cq0TQLFSXJxxORkU,My Loyal Life,Ty Nitty,9/13/11,album,0,NA,6149,10
2RaCJc5z9yU8XD6lgbNTNR,Nitty Filez 4,Ty Nitty,1/17/12,album,0,NA,6150,10
4YxPZWODF9h4irXcvyM2Bi,Nitty Filez 5,Ty Nitty,5/25/14,album,0,NA,6151,10
6i6Ww6wxxboVRUqNBtfZQt,Nitty Filez II (Hosted By DJ Rated R / Vinny Thunn),Ty Nitty,11/5/09,album,0,NA,6152,10
0Uf9iL8rxoIoB2mHpDlaiA,Nitty Filez III,Ty Nitty,12/2/10,album,0,NA,6153,10
46IA6O5f8Fp8B3wQW3wd5F,Nitty Filez VI,Ty Nitty,1/12/17,album,0,NA,6154,10
4T1DzWx4oU3ZGIf9ukJDO6,Nitty the God,Ty Nitty,10/21/19,album,0,NA,6155,10
3kq16UQ9O9ZqFGrJhNklu3,Queensbridge,Ty Nitty,8/18/14,album,0,NA,6156,10
120qzBTeCe5HFiOhYoFPrv,Real Shit,Ty Nitty,11/7/19,album,0,NA,6157,10
3R0UdguuX9OUcWbMpr40OZ,Shot,Ty Nitty,1/3/20,album,0,NA,6158,10
5UL9zloWLcoJhTayy8oYy2,Tattoos & Smoke,Ty Nitty,10/11/18,album,0,NA,6159,10
0WNqr8z2EM6esrd3Ik3zNh,That Ol' Thang Back: Return of da Real,Ty Nitty,11/1/12,album,0,NA,6160,10
3aTcq36ueXt6lRwHC0DktV,Tsunami,Ty Nitty,11/28/08,album,0,NA,6161,10
1RfaUv4ZVemjX0SEpETNjD,Tuff Love,Ty Nitty,3/24/13,album,0,NA,6162,10
6xJC9AbMpm4ebrTWz6Fd5S,#BitchImTheShit,Tyga,11/22/14,album,0,NA,6163,10
4BqsBWrnGJQHSgmA9xk5rh,Bitch I'm the Shit 2,Tyga,7/21/17,album,0,NA,6164,10
2qkXDG9SemZ3qc43bNpVtr,Black Thoughts,Tyga,5/14/14,album,0,NA,6165,10
0Swy72ImsSyOmjls4pFFCf,Black Thoughts Vol. 2,Tyga,5/13/14,album,0,NA,6166,10
6lWQVd4FpHVh2MCGHxwIsd,Bugatti Raww,Tyga,10/23/17,album,0,NA,6167,10
6p6Wab5m1yqyp4NzRevTft,Fuk Wat They Talkin Bout,Tyga,8/24/15,album,0,NA,6168,10
7zoQtXc7TUyHnmaC6LtjEe,Hotel California (Deluxe),Tyga,1/1/13,album,0,NA,6169,10
2AoE3mTcrazotgJ8PTwxOM,Kyoto,Tyga,2/16/18,album,0,NA,6170,10
1dDfjR6KqXwa6I8XmPXnxr,Legendary (Deluxe Edition),Tyga,8/23/19,album,0,NA,6171,10
2DZcxYmuJYcuTypU0A6y0F,Rawwest Alive,Tyga,1/15/16,album,0,NA,6172,10
5C6Le181K769lhC5GRZrE5,The Gold Album: 18th Dynasty,Tyga,6/30/15,album,0,NA,6173,10
5hsobSGty9FIGCmEwb3yAz,Well Done 4,Tyga,12/17/13,album,0,NA,6174,10
02KFVEA5tnY0YnypmWY1tz,Potato Salad,"Tyler The Creator, A$AP Rocky",9/28/18,album,0,NA,6175,10
2gIJO0RLORaeRCT9G1E52V,EARFQUAKE (Channel Tres Remix),"Tyler The Creator, Channel Tres",10/4/19,album,0,NA,6176,10
1scDXjzL5XDnu1Sp7twX8V,Sandwitches,"Tyler The Creator, Hodgy",2/15/11,album,0,NA,6177,10
530wst7qkLIEeDYkOJXWzZ,2000 Watts,Tyrese,10/29/01,album,0,NA,6178,10
03cfCn9q5HCovP68PFvsbf,Alter Ego,Tyrese,12/12/06,album,0,NA,6179,10
4CimV2GjUlP9EtoHfo4GaF,Dumb Shit,Tyrese,3/10/15,album,0,NA,6180,10
0W39cCi8TF3XbsinfQFZou,I Like Them Girls EP,Tyrese,2001,album,0,NA,6181,10
3skbBjGnAOqfy6ndwwOT4G,I Wanna Go There,Tyrese,12/1/02,album,0,NA,6182,10
3hxshp7A74klqWmEUgpWev,Nobody Else (R&B Mixes),Tyrese,1999,album,0,NA,6183,10
7BPX0UNzWzysMsHmVvVvB5,One (Main),Tyrese,10/17/06,album,0,NA,6184,10
1ReGnt5rG16DJ27CUji3uw,Open Invitation: Reloaded - EP,Tyrese,1/1/12,album,0,NA,6185,10
3gG3Tgj0cxEci6d7smjMwQ,Shame,Tyrese,4/21/15,album,0,NA,6186,10
78HvyTMAtEaw3Uxv5s6D7V,Turn Ya Out (Main),Tyrese,12/5/06,album,0,NA,6187,10
1srJ4xgMWliQdwquG81ObA,Tyrese,Tyrese,8/31/98,album,0,NA,6188,10
