album_uri,album_name,artist,release_date,album_type,index_to_split,groups_to_split
3o345oTiN7Hp5XpY6RTmbd,Triple Goddess,DJ Qbert,2019-08-28,album,10459,9
40H4Xes337gfusilUiGeUU,Grand Imperial,DJ Qbert,2019-08-27,album,10460,9
75LxF9bnfpeimog46qoQJl,ULTRAVIOLET,Justine Skye,2018-01-19,album,10461,9
0qKVC0VLIoSKSTdCHWPo7c,8 Ounces,Justine Skye,2016-12-23,album,10462,9
0DU2vGl3iqTMSHHHd2l6eP,Emotionally Unavailable,Justine Skye,2015-12-11,album,10463,9
2KSOL8yTpiwIaKFl2fMdJo,Everyday Living,Justine Skye,2013-08-20,album,10464,9
3d4wxvZiYBoNbcwjK81yvP,BARE WITH ME,Justine Skye,2019-08-27,album,10465,9
6QNMDcKl1OtaayznigBxnf,MAYBE,Justine Skye,2019-07-19,album,10466,9
43zkwEXKPIpVoJvDeXWfMS,Build,Justine Skye,2018-10-12,album,10467,9
3yQsZtQbpsk62l4Yq5pjIK,Know Myself,Justine Skye,2018-02-14,album,10468,9
1hgijXSiRXT09JVtoWNgm1,Flames,Justine Skye,2017-03-24,album,10469,9
0IxBWUhxCrRIAiw6kSGcWa,U Don’t Know (Remixes),Justine Skye,2017-03-03,album,10470,9
3ORdu118l1QvP20yq2v0DS,A Train,Justine Skye,2015-04-21,album,10471,9
1jObqLqwnkxZ5VOey1sLzb,Bandit,Justine Skye,2015-04-07,album,10472,9
0gANXvv4WJqluM6sc9sapf,Collide (feat. Tyga),Justine Skye,2014-08-25,album,10473,9
6Yg2MXtNgynqkQ7ddTFneP,Live On Air 1967,Traffic,2019-02-01,album,10474,9
6wDCNTOXnKI8E4WrsdeJH9,John Barleycorn Must Die Deluxe Edition,Traffic,2010-01-01,album,10475,9
3D80ZfwCM7wbRrZKshEVHg,Far From Home,Traffic,1994-01-01,album,10476,9
5BT6F20WMeiqsR4qS4KGcG,Smiling Phases,Traffic,1991-01-01,album,10477,9
0JKdD46205BvaubChUaU2o,When The Eagle Flies,Traffic,1974,album,10478,9
5d8Ui2srV0RWNAhX01rCDi,Shoot Out At The Fantasy Factory,Traffic,1973-01-01,album,10479,9
7aFV6FNmyF8yf9yTGy0O7d,On The Road,Traffic,1973-01-01,album,10480,9
6DUa06cy7WWvhba9Jiheyg,The Low Spark Of High Heeled Boys,Traffic,1971,album,10481,9
0JBqx0aKgp0zFFe3nwYWK4,Welcome To The Canteen,Traffic,1971,album,10482,9
2TjodugH6rA5ZHPsWVErmw,John Barleycorn Must Die,Traffic,1970-01-01,album,10483,9
1rkRb1bvM8Ykwr99qwsLCe,Last Exit,Traffic,1969,album,10484,9
0HXUEUFACh0b3VBhm7jBhi,Traffic,Traffic,1968-01-01,album,10485,9
3E9GiUlnRL2Sq0mstTSElN,Mr. Fantasy,Traffic,1967,album,10486,9
7iMODEw22XBT58TMCQ0HQb,The Resurrection,Suga Free,2019-05-05,album,10487,9
0JETghdtLUnE1RXz1ZkfSC,"Blood Makes You Related, Loyalty Makes You Family (Full Dose)","Suga Free, Pomona Pimpin Young",2015-07-24,album,10488,9
6xRiiHKhV9KK9q4lO2s2yg,Suga Free: Pimp Slap,"Suga Free, J Steez",2014-01-24,album,10489,9
72uLmXsX8edfLzU9liuYqB,Thunder & Lightning,"Suga Free, Pimpin Young",2012-07-10,album,10490,9
5X8gSI2tXaRCeiJWvDWYiR,"Suga Free & J Steez ""Fly Trap""",Suga Free,2012-05-02,album,10491,9
37HQ74gOFU44Bd9zdHFogZ,Why U Still Bullshittin'?-The Best of Suga Free,Suga Free,2011-09-13,album,10492,9
7vywaJSnwNKDiAXcmKubiS,Hi Power Pimpin',Suga Free,2009-03-24,album,10493,9
1vEKZQE2ToN2WEslMg2au8,Sunday School,Suga Free,2007-09-25,album,10494,9
1fp1XjW585bX8Ze8yGRicc,The Features V.1,Suga Free,2006-08-22,album,10495,9
0h9isxAIJTm9Df518nPeI8,The Features V.2,Suga Free,2006-06-27,album,10496,9
1vMsIRfn5FFj4Dha3qD311,Just Add Water,Suga Free,2006,album,10497,9
2bEmT0Tnozzzm05nSlR4S4,Smell My Finger,Suga Free,2005,album,10498,9
1rUUImgsHk3LmNihsx2cJo,The New Testament,Suga Free,2004-03-09,album,10499,9
331jLVPGFJFYIP0yVmQarH,Suga Free And Mausberg Presents Konnectid,Suga Free,2000-05-09,album,10500,9
1ZAEMU1aaMpCQXKLJiuI7Q,Street Gospel,Suga Free,1997-01-01,album,10501,9
6VeYuU1LjgdsfbH1zeEHix,Hearts,Suga Free,2019-05-01,album,10502,9
3BKovvPn4rFZhlMMh7WMLr,Hole in My Heart,Suga Free,2019-03-21,album,10503,9
1OvbTJjC2WoeZORiWnaYqe,"After the Drinks Are Gone (feat. Cricet, Kay Nine & Licwit)",Suga Free,2018-02-09,album,10504,9
5QwUoCCfkViO4ygiuJpqqj,The Currency,The Currency,2010-07-01,album,10505,9
5jeHpyyxD5FtthhDEoJwZF,888,The Currency,2009-03-27,album,10506,9
1sXjmSaxR2ZnPVevAszce1,Missing ElemEent,Eearz,2019-06-28,album,10507,9
1ac3TuyIVWTMfKZmYB2Bgx,Eearz To Da Streets Vol. 1 & Vol. 2,Eearz,2016-10-21,album,10508,9
2xkrAeft1dt6Unut6R3RDi,"Eearz 2 da Streets, Vol. 1",Eearz,2015-10-09,album,10509,9
30obSSlJ1pB3IexKxpKvbe,"Eearz 2 Da Streets, Vol. 1",Eearz,2015-10-09,album,10510,9
7wcjevqGjKj4PLsg53JQbF,Shawty Gon,Eearz,2020-01-10,album,10511,9
3qYJ3iS9TXyDw00FyhYik4,Mission,"Eearz, Pharaoh, Irocconthebeat",2019-10-02,album,10512,9
01eJUQM3naD8Zf1AhywKd0,Photo Reel,Eearz,2019-07-31,album,10513,9
3iRY6FQCnrQT93drCu2LY9,Heaven,Eearz,2019-06-25,album,10514,9
3eVB25GXPbhCjoAvixifSk,Lunch Time Remix,"Moochie Kodak, Eearz, Yung Bino",2019-05-17,album,10515,9
4VWJn6RJILGnxYCN3gv4I0,Cut From A Cloth,Eearz,2019-03-08,album,10516,9
0ZqH82yyXnVWqYA58RVhYP,"Kill 'Em With Success (with ScHoolboy Q, 2 Chainz & Mike WiLL Made-It)","Eearz, ScHoolboy Q, 2 Chainz",2018-11-02,album,10517,9
78QrIGd4uRn4XKIF7UZrEC,Throw It,Eearz,2018-09-14,album,10518,9
2o4b8qDspiUC3VGnWgMr5p,Space,"GENIUS, Eearz, K CAMP",2017-11-03,album,10519,9
2WrNHOba5u6P9S9xEboaUy,Perfect Ten,Mustard,2019-06-28,album,10520,9
5alhJcqITAVC4o6f8qGO0Z,The Ghetto,"Mustard, RJMrLA",2017-12-15,album,10521,9
5RnrEPrcCnCbicoDYUaqgA,10 Summers,Mustard,2014-08-11,album,10522,9
1Q5yQIQXBLDWTSIYXF2oJc,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",Mustard,2019-05-10,album,10523,9
390mH8gOERjN4ACUvQhPjx,Dangerous World (feat. Travis Scott & YG),Mustard,2018-08-17,album,10524,9
2liNhe3OLLivSv18Rqqtgv,Anywhere,"Mustard, Nick Jonas",2018-05-11,album,10525,9
0127H28xAAqyuB9nPqsOCY,Want Her,Mustard,2017-03-06,album,10526,9
03VQmX56AzgSFBNfA3PVm5,Don't Hurt Me,"Mustard, Nicki Minaj, Jeremih",2016-07-01,album,10527,9
4rVGepRzIj7IDiveCYQIKG,Whole Lotta Lovin' (With You Remix),"Mustard, Travis Scott",2016-04-15,album,10528,9
2j4YtsbCIF6Qy9r10DSfrL,Low Low (feat. TeeCee & Rj),"Mustard, Nipsey Hussle",2016-04-13,album,10529,9
6jlPLFzQyHefiWhCATL7RA,The Vibe Is Heavy 3,Tdot illdude,2019-01-25,album,10530,9
4vXTvgcVHFcWHmamf5bvfZ,The Last Illustration of Tdot Illdude by Thomas Jude,Tdot illdude,2017-12-26,album,10531,9
2aQjvAzM4IB2Ko5oLrXdCz,The Vibe Is Heavy 2,Tdot illdude,2017-06-26,album,10532,9
5SMNVBBlhEKuzwe78byNnl,Morning Comes Too Fast,Tdot illdude,2016-10-18,album,10533,9
1yKtpKiYVcs0Df4GTiLfDF,Heartless Cutthroat Paranoid,Tdot illdude,2019-06-17,album,10534,9
482QznYXw9jvBypTgrUmn8,Out of My Mind,Tdot illdude,2019-06-09,album,10535,9
011QZlupjUG1agcJRUI3FK,One Too Many,Tdot illdude,2018-12-28,album,10536,9
2EnATCtRhiD3BcMlSrdbiq,Out Of Sight,Tdot illdude,2018-12-28,album,10537,9
7CWvJuN0fAlWpnA2EghB7L,Right Time,Tdot illdude,2017-10-27,album,10538,9
2RW5mLoHrr0wJztu5frPUE,Camera,Tdot illdude,2017-03-13,album,10539,9
1kEWxw1OvukAOGuJdsQip9,Nothing To Me,Tdot illdude,2017-03-13,album,10540,9
4y4PgAYrT5SRNYGeJC0ypu,A La Carte,Tdot illdude,2017-02-08,album,10541,9
7JfK6cgmo8aGI8fRicDqBO,Vegas On Acid,Tdot illdude,2017-02-08,album,10542,9
6OmYxHV5VMaS1b9oz1bpgd,Did You Know,"DJ Pauly D, Tdot illdude",2016-06-05,album,10543,9
7bojUmOuDLOXRrSxSd7edM,Again (feat. Kur),Tdot illdude,2016-05-31,album,10544,9
2EBicJTJgkYofqR84SfFf4,To the Moon,Tdot illdude,2016-05-31,album,10545,9
0bpfWnAKIUbsgC7QLmJkOp,The Vibe Is Heavy,Tdot illdude,2016-03-07,album,10546,9
28Thyyv4Mk4E5xfM0QzQNC,Minute,Tdot illdude,2016-01-27,album,10547,9
6ZbeKKRJvZXj1VOvtyzhPV,Rick Rock Beats,Rick Rock,2019-03-01,album,10548,9
0CKgBIlPj7Jls0MkaymlfV,Rocket the Album,Rick Rock,2015-12-04,album,10549,9
4PcX8QbfTWiaWfbwQ0hw2e,"Buddha, Buddha",Rick Rock,2019-06-26,album,10550,9
0xKod3wVggRjYHFWAHhrgd,Neva Met (feat. Snoop Dogg & Tee Flii) - Single,Rick Rock,2014-06-24,album,10551,9
4gwBC6hjtby4GhJvgblOEL,Super Aries,Rick Rock,2012-04-04,album,10552,9
2Xj2VlrydW54dVj7Eyhhzg,Take Me Away,Rick Rock,1987-01-01,album,10553,9
0XmWWaIZFO3AEiFbNIW9ix,Saks Fifth,Lil Duval,2011-11-27,album,10554,9
6YKWgZ8QbJbdymaEx9Vdfk,Christmas Trees,Lil Duval,2019-12-17,album,10555,9
71HFkoLVwaoO8eFaf0t7UG,Black Men Don't Cheat (feat. Charlamagne tha God),Lil Duval,2019-06-12,album,10556,9
7lvtThZUvQgNLy5D1zvXfg,Pull Up (Remix) [feat. 2 Chainz & Ty Dolla $ign],Lil Duval,2019-03-22,album,10557,9
2bQmekObyt6Ax3qOyNpj0F,Pull Up (feat. Ty Dolla $ign),Lil Duval,2019-01-11,album,10558,9
3HCWkv1YtDDr9C7XFn6zlf,Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy & Midnight Star],Lil Duval,2018-07-03,album,10559,9
49MptN42Ist0z0FlIbhn5F,I Ain't Stressing (feat. Dope Boy Ra & 5 Mics),Lil Duval,2017-09-25,album,10560,9
1GbnD8NvPrd2uJY8tVafMn,Drop It Off,Lil Duval,2017-01-25,album,10561,9
6J6XokPG4WojqX7KHuCSAa,What Dat Mouf Do (feat. Trae Tha Truth) - Single,Lil Duval,2014-04-01,album,10562,9
5yV6JVfsLGdi3QMclVkvMW,Kisses,Anitta,2019-04-05,album,10563,9
1irawiP1fDHeb7hUNf9wxN,Meu Lugar,Anitta,2014-06-03,album,10564,9
4QTjlWk0JCR6w5S1ZVitkJ,Ritmo Perfeito,Anitta,2014-06-03,album,10565,9
512wE9gJZsB4iSVgVWOAKp,Anitta,Anitta,2013-02-06,album,10566,9
5Ck7bafVSJEm4Bq5uFpJ7j,Joga Sua Potranca,"Dj Gabriel do Borel, Anitta",2020-01-17,album,10567,9
713q68xdmP3jOgkAdY0gd4,Até o céu,"Anitta, MC Cabelinho",2019-12-20,album,10568,9
4TqFmWQwqh9GlDbf5jLVdm,Meu mel,"Anitta, Melim",2019-12-13,album,10569,9
5dXeJdc2hib8JB3Vqon2zB,Bellaquita (Remix),"Dalex, Lenny Tavárez, Anitta",2019-11-22,album,10570,9
4YQQS1DM9JskregbISv1dq,Combatchy (feat. MC Rebecca),"Anitta, Lexa, Luísa Sonza",2019-11-20,album,10571,9
1GjVoPUvfzc1b76xa0stUI,Some que ele vem atrás,"Anitta, Marília Mendonça",2019-10-30,album,10572,9
42UDvCCISDxTvdBLAiJn8j,Complicado,"Vitão, Anitta",2019-10-04,album,10573,9
2oeDPXbXqgrYYXAJj9Iz3X,eXplosion,"The Black Eyed Peas, Anitta",2019-10-04,album,10574,9
4sH660Ggu0Xd9yShQntlmA,Contatinho (Ao Vivo Em São Paulo / 2019),"Leo Santana, Anitta",2019-09-06,album,10575,9
03oX3KPyi8ydzOaMNTpX0N,Pa' Lante,"Alex Sensation, Anitta, Luis Fonsi",2019-06-21,album,10576,9
09eDWRetSzjnYHLYYeFFIX,Ugly (English Version),Anitta,2019-04-03,album,10577,9
5387Ro9J8OY3i9QOHkaZso,Ugly (Fea) [Spanish Version],Anitta,2019-04-02,album,10578,9
01SaRm4wWB9TqKMq8jyc3G,I Made It Out,John P. Kee,2019-09-13,album,10579,9
69bT2TI27v8egbT2tnlwrG,Level Next,John P. Kee,2015-09-25,album,10580,9
2rdL0JLGVRzXS96e5nkHJG,The Legacy Project,John P. Kee,2011-01-14,album,10581,9
7t3yNanEwp72w4lS7UhhGn,The Color Of Music,John P. Kee,2004-06-08,album,10582,9
7Mlu5erqJLuAR4zWPIEIDx,Blessed By Association,"John P. Kee, The New Life Community Choir",2002,album,10583,9
2fnAU23xlHzp822sE9kXzR,A Special Christmas Gift,"John P. Kee, The New Life Community Choir",1996-09-13,album,10584,9
6ho7qfWmLhTlcFN7jUZmrM,Yes Lord,John P. Kee,1994-06-14,album,10585,9
0czDZM8CQfn5Gnt9qWprCg,Colorblind,John P. Kee,1994-04-26,album,10586,9
2YXZfpk3upNAt8XngnqNpr,Just Me This Time,John P. Kee,1990,album,10587,9
2vuaOYwOEAUw7Gnn9xo6BF,There Is Hope,John P. Kee,1990,album,10588,9
3GNchlABDyyup8hXKZbZIy,The Essential John P. Kee,John P. Kee,1989,album,10589,9
1abNE0xrZchxw35eXiDy28,I Made It Out (Radio Edit),John P. Kee,2019-03-08,album,10590,9
0I6GjLZKsJCndfiqSOwk6M,Mommy Don't Cry (Hope Version) [feat. Joniya Kee],John P. Kee,2015-09-04,album,10591,9
2uR7yp86AvHL2cd5xfo9Rw,Mommy Don't Cry (Angel Version) [feat. Joniya Kee],John P. Kee,2015-09-04,album,10592,9
6g4QEX0l9xsvgKp0D0nfMq,Color Blind: Hate & Happiness,October London,2017-04-07,album,10593,9
7CXeYrL2UDyKprq1UPsEdZ,Color Blind: Love,October London,2016-10-28,album,10594,9
57ReeKQG3igi6ul8K8uNJO,Bedi Yak,"October London, Tenah Nassar",2019-11-20,album,10595,9
0aQios4mdY21dneNBWyL48,Rollercoaster,October London,2019-10-29,album,10596,9
4TUTFZjewatD3pbD2PEj85,Kdb (Kisses Down Below),"BCANIC, October London",2016-12-09,album,10597,9
2b1oWGJx0IYvgrYOj4Hlh6,Black Man in America - Single,October London,2016-07-20,album,10598,9
0uApyZWHgdVcZbY80SiNb5,A Different Place,Kim Burrell,2015-09-04,album,10599,9
2UvjfNYqZ8ietXd8DDsRs8,The Love Album,Kim Burrell,2011-05-17,album,10600,9
4dBK67guET2jZPj3nzCrbz,No Ways Tired,Kim Burrell,2009-04-07,album,10601,9
0rGKWwqH68t2tGGfqknC7a,Try Me Again,Kim Burrell,2006-05-22,album,10602,9
5fEQIDDrcjsW2kbq5TfJFt,Live in Concert,Kim Burrell,2001-03-06,album,10603,9
56dJNgMHzS6jzePVYXsVBh,Everlasting Life,Kim Burrell,1998-11-24,album,10604,9
7H8fWVBVMsqNfPoh83NYjI,Little Drummer Boy,Kim Burrell,2018-11-23,album,10605,9
7aexYmtdlw0QuMFzoUxCWN,Thank You Jesus (That's What He's Done),Kim Burrell,2015-06-30,album,10606,9
3LnFDrskjXyuMppw4mqWur,Beginnings,The Clark Sisters,2012-01-24,album,10607,9
3y6kzpy1GnrxR7H1KkGBuh,Family Christmas,The Clark Sisters,2009-01-01,album,10608,9
3GsJhrrL0fq0d1r5L8qX2R,Power Play (Live),The Clark Sisters,2009-01-01,album,10609,9
4XvYi5zIZXHj2pNbHLfKt8,The Definitive Gospel Collection,The Clark Sisters,2008-05-20,album,10610,9
4q02ycz7FsngzsYDtjaIMc,Live: One Last Time,The Clark Sisters,2007-01-01,album,10611,9
2Oqn5v8hva4lGIv6f3KlZO,Miracle (Reissue),The Clark Sisters,2007-01-01,album,10612,9
2569YjoIL91IeMBLvER742,You Brought The Sunshine / Unworthy,The Clark Sisters,2002-10-08,album,10613,9
62KnQkbZsmhz5y9q6Gs2m2,Bringing It Back Home,The Clark Sisters,1989-10-03,album,10614,9
2Ccx4LkjNZGjrascsldAs2,Conqueror,The Clark Sisters,1988-10-18,album,10615,9
4JHMoQdQGzLOZUzKN004N3,Count It All Joy / He Gave Me Nothing To Loose,The Clark Sisters,1978-01-01,album,10616,9
77rCl2JZKzNeD8fCE2GEJD,New Beginnings - EP,The Clark Sisters,2008-11-01,album,10617,9
4auCVrWrIIUSHf4AdE19Hg,Ferrari.,B.Slade,2020-01-01,album,10618,9
6sRfeTMARIGWhblLEAzefI,Taurus.,B.Slade,2019-05-14,album,10619,9
5RxSAIpHNLQethTn4Nexjf,Bleu.,B.Slade,2019-02-04,album,10620,9
2jLp7rOUbL9ZiCn0be7fft,DeLorean,B.Slade,2018-05-16,album,10621,9
4LqbvVdLx5Y72cgBieVSqi,B.Slade,B.Slade,2017-11-01,album,10622,9
0o0FZCgf6HqQsiv9YzJzuG,The Hype,B.Slade,2019-08-19,album,10623,9
2QqDCByNT680528nDPP29T,Girl I Just Want You Around,B.Slade,2019-03-12,album,10624,9
3ePkmIHJIqslc3XQEixdjs,King Me.,B.Slade,2018-12-11,album,10625,9
1s5l0ravVtI2pMUDPV9Jn0,Love My Life,B.Slade,2018-11-27,album,10626,9
0GFaGblCMPCCiuICUZqHl1,Losing Interest.,B.Slade,2018-11-10,album,10627,9
3lFnhXPb6eEEerbLuzCTKI,Hey Now Ghetto Style,B.Slade,2018-09-03,album,10628,9
5DAcwiNmoh0s6c63ufEDo0,Cough It Up,B.Slade,2018-05-25,album,10629,9
1tu8k06Hk75yZVvIp32IfA,Diana Prince (Radio Edit),B.Slade,2018-04-26,album,10630,9
4JlmewEufX00yC3zmcH8GI,Starbuckz,B.Slade,2018-04-20,album,10631,9
5nEnDNbCmRSTM7Ejqr5m4k,Starbuckz (Radio Version),B.Slade,2018-04-20,album,10632,9
5M2hX31zmecCPMmuO4vhiQ,The Onyx Dolphin,B.Slade,2017-12-28,album,10633,9
2YXfM4BsB0T33J6vj4ZZC6,The Feeling,B.Slade,2017-11-07,album,10634,9
0uLht8QpQvATA1A48S0huj,Leave the Lights On (feat. Hubieonguitar),B.Slade,2017-02-10,album,10635,9
2NjGgP5I2QB4TiQmpmCqTX,I'm Done (feat. Yummy Bingham) - Single,B.Slade,2016-12-13,album,10636,9
00kU4HzJ0Uvr3PGBxrqt14,The Transition of Mali,Mali Music,2017-06-02,album,10637,9
7MMjwKpaSrATroOvGcjTGv,Mali Is...,Mali Music,2014-06-13,album,10638,9
3UDqfLHzkMtHtuDCb5cIop,The 2econd Coming,Mali Music,2009-10-20,album,10639,9
5oco3RPbq1KWrYro1rdQy1,Loved By You,Mali Music,2017-05-26,album,10640,9
2d0vpdPMOVgACBxpWeZ9pH,My Life,Mali Music,2017-05-19,album,10641,9
6Akp6m8UeTkz93ScogeVxY,Gonna Be Alright,Mali Music,2017-03-31,album,10642,9
0JoqazGi0b7Rv4xwzHH4tW,Contradiction,Mali Music,2015-11-13,album,10643,9
1jj5EcF25NkdVjh1qwQu64,Beautiful (DHNY Remix),Mali Music,2014-06-23,album,10644,9
0yINdcQSuVg28QINjlQnqj,No Fun Alone,Mali Music,2014-06-03,album,10645,9
3v0WYPB5SjUbNP9LjEjcz1,Fight for You,Mali Music,2014-05-19,album,10646,9
24HotpJWU6cDWor55Iw0Ys,Ready Aim,Mali Music,2013-02-27,album,10647,9
5cIehh8djG6MYdaPMIMyZx,Deep Blood Red,Mali Music,2011-01-11,album,10648,9
4neDDymDtQg1DJ37YUeMM8,Mercy Lord,Mali Music,2011-01-11,album,10649,9
6SoNRC6Wcgb9ue8IceR9nW,I Hate You,Mali Music,2009-07-07,album,10650,9
4LJMZurhpJDxopsPlwQvqk,The Bloody Win (Live),Tye Tribbett,2017-10-13,album,10651,9
4PbHCckGALCndisP6NsETF,Greater Than (Live),Tye Tribbett,2013-08-06,album,10652,9
6XoZ9zBsXQhtXK6j804l5A,Fresh,Tye Tribbett,2010-10-15,album,10653,9
0eamOeDsOqnsFG1nMJdsHf,Stand out,Tye Tribbett,2008-05-06,album,10654,9
14AByKbhJJzkvoY8f5qZuG,Victory Live,Tye Tribbett,2006-05-23,album,10655,9
6L88khmTjTemf1QCXYsXpE,Craving (Live),Tye Tribbett,2017-09-22,album,10656,9
1rAebyM0QWQKbu8GZBbEFi,Live!,Tye Tribbett,2017-09-01,album,10657,9
