track_artists,album_name,track_uri,track_name,track_popularity
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),33gWZumsjMDftr2ACGenA3,Intro,12
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),3sLcImBfpQCTwhgVGOpKBl,Tabletops,31
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),489G459ztSxdL0utdLCEuV,Zones,23
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),6kL86vaJTCz3atbirugRJL,My Own Parade,25
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),4WMFsu9EuUYxYR5lKwX6R0,New Toys (Hey Love),25
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),4OlLLmIsKsd24qU6GZfrCG,Brand New Get Up,20
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),3qVBJfMAOcRbDnKcNJYMTC,You Again,20
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),4QYk9SKTNkSjhtiscmJRUR,Serge’s Song,18
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),7EaRYrzj8gXW55bNSFHd0z,Beast Out the Box,26
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),2nzBqcdSbxLZ2N6cWNEyaY,Bitcoin Beezy,17
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),2iQLUV9aGKOacuKVkDlCZw,Here,25
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),5GtTt9EVWZwdcI6ewxEk4N,New Years Day,23
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),0j7aoBf2jdEPmrHgrrWhoN,Spiked Punch,19
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),5SHLvnqPNpx36gXSsts6s7,Outro,11
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),18Ce7QcHKOSF3vRuj8npv2,Fools Gold - Bonus Track,17
"¡MAYDAY!, Murs",Mursday (Deluxe Edition),2jhKAgsBHwHKd8iqjVsofQ,Give You My All - Bonus Track,17
03 Greedo,Bring The Block Outside,5PvQEMQyuAevBs6XqjbadD,Bring The Block Outside,37
03 Greedo,Can't Fuccin Believe It,2tY8de0IArYFLTyT1Y47vu,Can't Fuccin Believe It,15
03 Greedo,Fortnite,0zv07tjR3lHDRzvumLbLl9,Fortnite,40
"03 Greedo, AD",God Level,0kxM3vlzGQTeowKaxADI4X,Blower (feat. AD),25
03 Greedo,God Level,3iMwplqtyM6CrcDXr6Mfbo,Finally,23
03 Greedo,God Level,6E7b0ImhxINmZYftLkDzl4,Fall Off,33
03 Greedo,God Level,0OSzy6MgN642oP42hbN695,Basehead,30
03 Greedo,God Level,7dRU8DzipTd0vtza0IGYt6,Prayer For My Lost,24
"03 Greedo, KEY!, Runway Richy, ManMan Savage, Mal & Quill",God Level,7FE1efLq4ydlzwGvUILNiP,"Buckhead (feat. KEY, Runway Richy, ManMan Savage & Mal & Quill)",24
03 Greedo,God Level,5PxR6fbCJYQQ05TfCvZ1gr,In My Feelings,35
03 Greedo,God Level,3URSrT5yfU5q6yBwxbcuFC,Praying to God,21
03 Greedo,God Level,0ba5xpvGmLe1Jlw5KeSUF6,Bacc to Jail,21
03 Greedo,God Level,5oxpuZxT7dnxnw20YwujKu,Gun Bucc,32
03 Greedo,God Level,6tdh1p0rFhvz9yLjYbe6u8,Floating,47
03 Greedo,God Level,0PFEGtfuum8JiBkRied2vy,Dibiase,36
03 Greedo,God Level,1rl3cjbHxOTgAeX62KhDnR,Conscience,27
"03 Greedo, Rich The Kid",God Level,1z4dFvFG1xKH99ERYzpc0S,Fortnite (Remix) (feat. Rich The Kid),36
03 Greedo,God Level,7iuPsZp0rlSdZbQXVq5hOZ,Static,24
03 Greedo,God Level,7HcWaijijZU9vnVbzpznBe,Street Life,26
03 Greedo,God Level,502ltoXXVzlaDl4mNNX6IY,100 100 100,23
03 Greedo,God Level,6kTIxEqYEbR9dTwipueU5S,Good Grape,22
"03 Greedo, Yhung T.O.",God Level,6JIsgdxs4XGSJX6SVE4QEe,Onna Way to the Paper (feat. Yhung T.O.),37
"03 Greedo, Yung Bans",God Level,1X8UbE5QC3FYK53bFjm8h7,High Off Me (feat. Yung Bans),27
"03 Greedo, Yung Bans",High Off Me (feat. Yung Bans),0vYvF8YPl3eO8il2ssQxHE,High Off Me (feat. Yung Bans),35
"03 Greedo, Mike Wayne",Look Bitch (feat. Mike Wayne),3AeZDYbnFxNvvQZHCFbfTN,Look Bitch (feat. Mike Wayne),29
03 Greedo,Purple Summer,0idc2hDFUAZgqwc8MIxViD,Jealous,20
03 Greedo,Purple Summer,4xofL7h5rLS3Z8miaX7UFf,Feelings,16
03 Greedo,Purple Summer,6Hd4v50a56HnRMMJcHEhm2,Same Thang,17
03 Greedo,Purple Summer,47lOhlLpkKn7us93enKusX,10 Toes,18
03 Greedo,Purple Summer,6RffwLWpNwmXPLxKgoCrVA,Freak,18
03 Greedo,Purple Summer,4no8cFaUqwnbeNq8mQzaA0,Molly,24
03 Greedo,Purple Summer,020mUhInPaO1eKwMpLN04k,Never,23
03 Greedo,Purple Summer,546WCrcINC7zSz9s9iEz7k,Pacific Ocean,18
03 Greedo,Purple Summer,3MA3yODujzpydlA6IGJWcU,Shittin (Lately),26
03 Greedo,Purple Summer,3OXQ8YXXzQbvAez10WAfSy,Spend Time,19
03 Greedo,Purple Summer,6VBuV3fk37EGAqFbDVQjHv,Sweet Lady,40
03 Greedo,Purple Summer,572af8UxZCglYX3edQ1ssJ,Thirsty,23
03 Greedo,Purple Summer,5K5Nl840F80laR9BCFMhrj,Wifey,20
"03 Greedo, Who Kid Woody",Purple Summer,098O6dDmr0BQyiji7JreLz,Lame,18
03 Greedo,Purple Summer,7Bsd2OqY7YpvViFNAu6RVc,Fucc These Niggas,18
"03 Greedo, Earl Swavy, Fucca Flea",Purple Summer,2OdeSGWPOJU2gKIQwb1sBs,Lemme Hit It,16
03 Greedo,Purple Summer,4QmztaahJHSZCgkb56TL9q,Making Plays,15
03 Greedo,Purple Summer,1tjrkVYdhsmQBBlf3sy8xH,Makin Bands,18
03 Greedo,Purple Summer,1fFEfKrmnh7tLDCy2EJ2BH,Handsome,15
03 Greedo,Purple Summer,6i3bU9b2GXg4SAdr9LpAGo,Pump,13
"03 Greedo, Lil One Hunnet",Purple Summer 2: Son Don't Shine,08CTDxfAqvHg4DnINpEn52,Mobbin (feat. Lil One Hunnet),16
03 Greedo,Purple Summer 2: Son Don't Shine,2WTQXvexvCzE4udq0kQvR7,Creepin,19
03 Greedo,Purple Summer 2: Son Don't Shine,3xK97TB29ZLF0QqofYUhv9,Hands Dirty,21
03 Greedo,Purple Summer 2: Son Don't Shine,3lvnxdeqTmeDTQEqT0GQMr,Everywhere,29
03 Greedo,Purple Summer 2: Son Don't Shine,3NgMvrlzlshKdNfPHtdTpY,Paranoid,17
03 Greedo,Purple Summer 2: Son Don't Shine,4goScUwDfbRszchf7jYrvD,Stick Em Up,17
03 Greedo,Purple Summer 2: Son Don't Shine,2gtsoR1fWB2FgaY2dXXYbT,Daylight Savings,12
"03 Greedo, Blacowt",Purple Summer 2: Son Don't Shine,7tIXm6mv8KpL7PmYXQsCPO,Told Ya (feat. Blac Owt),14
03 Greedo,Purple Summer 2: Son Don't Shine,6pJqkTkqv920pyZgGbSGYD,Fabo,14
"03 Greedo, Johnny Boy Duece",Purple Summer 2: Son Don't Shine,7FxsFvJrpWod9pBOk0SGG2,Condo Money (feat. Johnny Boy Duece),14
03 Greedo,Purple Summer 2: Son Don't Shine,5ZuMEQK11ZoJif52RhlvO3,Chemistry,11
03 Greedo,Purple Summer 2: Son Don't Shine,1u5b88q0jZMG6Vy6HmbsV1,Invites,15
03 Greedo,Purple Summer 2: Son Don't Shine,5Rj5H3iAFQ0nGoSTuEqT8A,Bend It Over,27
03 Greedo,Purple Summer 2: Son Don't Shine,4TDGUNc0SR0BmnzuOTkDQE,How Bout Now,12
03 Greedo,Purple Summer 2: Son Don't Shine,6QTpownBMMr6c90OvfEeRj,Neva Make Me Mad,17
03 Greedo,Purple Summer 2: Son Don't Shine,177OXQZWqcze95KgcGIYxR,Afraid Interlude,12
03 Greedo,Purple Summer 2: Son Don't Shine,16wvMAfGhagD5n0ggl9uBo,Yeezy All Winter,16
03 Greedo,Purple Summer 2: Son Don't Shine,3cDyRngcB1O14UZpAbDaOw,Paper Plates,10
03 Greedo,Purple Summer 2: Son Don't Shine,4XP8km7ktK99aPYLCYP8RO,Blue Hunnid,17
03 Greedo,Purple Summer 2: Son Don't Shine,5uRea5DQCsSLWc7qAA11Kb,Get Your Life Up,20
03 Greedo,She's Foreign,4wCiFlDesmIpIbMq0L7OGd,She's Foreign,40
03 Greedo,Still Summer In The Projects,2A7yRfAp9RNFOUCGzurAyp,10 Purple Summers,43
03 Greedo,Still Summer In The Projects,2qByqKIXMz9VjRNsirOtxi,Bet I Walk,37
03 Greedo,Still Summer In The Projects,6cDrlvlQgkShN4TdIxpG2Z,Twisting The Lens,35
"03 Greedo, Shoreline Mafia",Still Summer In The Projects,6ZxX2vmH5WLufcOqenLjfb,Trap House (feat. Shoreline Mafia),69
03 Greedo,Still Summer In The Projects,0UcPh6rdKOeRLtzfFNHZ9C,Loaded,39
03 Greedo,Still Summer In The Projects,6toKYqjsDnViIAHysgAmwY,Gettin' Ready,43
03 Greedo,Still Summer In The Projects,0ZcoxbebyrYfsrlCzxqGrO,Change Your Mind,37
03 Greedo,Still Summer In The Projects,7BhMtxMDbuzDDOEkGUMDRG,In The Morning,48
"03 Greedo, YG",Still Summer In The Projects,7oWALr1CXFh3iE2nMOYFBu,Wasted (feat. YG),47
"03 Greedo, Trilliano",Still Summer In The Projects,1TAdu3q31r2gNT5eLUktex,Grapevine (feat. Trilliano),37
03 Greedo,Still Summer In The Projects,7yaUogRiL8BJn3W4Fe7HcW,Visions,36
03 Greedo,The Wolf of Grape Street,1C2pbthSH23JwDFAF8wPBw,Drippin',26
"03 Greedo, Ketchy the Great",The Wolf of Grape Street,5S7sYmqld8OondnB5b5lSf,Ballin' (feat. Ketchy The Great),24
03 Greedo,The Wolf of Grape Street,0DoCCX58uFOysTfLwWjotM,If I Wasn't Rappin',29
"03 Greedo, Yhung T.O.",The Wolf of Grape Street,0iNvKbry7seZx3rus7cYj8,Bacc to Bacc (feat. Yhung T.O.),35
