track_artists,album_name,track_uri,track_name,track_popularity
Ne-Yo,GOOD MAN (Deluxe),2Bw5wiShfFr7qXL3jHLkPm,“Caterpillars 1st” (INTRO),27
Ne-Yo,GOOD MAN (Deluxe),6EmLAsySzpvnFdBct78EVZ,1 MORE SHOT,38
Ne-Yo,GOOD MAN (Deluxe),0wsrcNMM2lscXppoCuc8rl,LA NIGHTS,49
"Ne-Yo, Romeo Santos",GOOD MAN (Deluxe),5wV6xSCqRD8kqV6daq7S7w,NIGHTS LIKE THESE,46
Ne-Yo,GOOD MAN (Deluxe),1q7sUI6TqEhYBQY2Ergusv,U DESERVE,36
Ne-Yo,GOOD MAN (Deluxe),3sYu4kJfjaZimKd7YXNzPv,SUMMERTIME,31
"Ne-Yo, Bebe Rexha, Stefflon Don",GOOD MAN (Deluxe),4JS7PwFSIt32LBRGl4nM0A,PUSH BACK,54
Ne-Yo,GOOD MAN (Deluxe),5dYuV7FeG51cu4qvuf9YBH,BREATHE,44
"Ne-Yo, PARTYNEXTDOOR",GOOD MAN (Deluxe),3Ci0JKVWZ4vldEs9KMlkfy,ON UR MIND,39
Ne-Yo,GOOD MAN (Deluxe),2LHOzc5LY0LueE3mnZexdS,BACK CHAPTERS,33
"Ne-Yo, Eric Bellinger",GOOD MAN (Deluxe),64lQZ2yenmr6UVCM2QXB2b,HOTBOX,47
Ne-Yo,GOOD MAN (Deluxe),1oE97hUUxrhT1TMViLewan,OVER U,33
Ne-Yo,GOOD MAN (Deluxe),45PJJMCoVdJe8tTHe0JhDE,WITHOUT U,46
Ne-Yo,GOOD MAN (Deluxe),1rKbIFubRssRnq3x9Az5Bk,APOLOGY,36
"Ne-Yo, Candice Boyd, Sam Hook",GOOD MAN (Deluxe),70roSl0y52nrJIMCzsb92H,OCEAN SURE,37
Ne-Yo,GOOD MAN (Deluxe),64qYbYQ1HaWAwjakAuRlON,“The Struggle…” (Interlude),0
Ne-Yo,GOOD MAN (Deluxe),04maE5ZP4x3i8jpmceOKhK,GOOD MAN,43
Ne-Yo,GOOD MAN (Deluxe),0QCqTmr1fydjsxACvDg6UP,POUR ME UP,34
Ne-Yo,GOOD MAN (Deluxe),3onJyXLnD3aXKua3OjkS1Q,WON'T BE OFTEN,32
Ne-Yo,GOOD MAN (Deluxe),678Qonm7ehCyDsSZnO1keK,RESET THE NIGHT,32
"Ne-Yo, Peedi Peedi",In My Own Words,4R6Eav76dTKm2RAZ0AAp3V,Stay,30
Ne-Yo,In My Own Words,30KnWvzkw18OQt52PGsXMl,Let Me Get This Right,26
Ne-Yo,In My Own Words,7gOZ8Mru2B9LGWlb4TRk2m,So Sick,32
Ne-Yo,In My Own Words,5QyXcjpkKysbmfYxYZxrmA,When You're Mad,32
Ne-Yo,In My Own Words,0l76RptavwGg8jXCP9BHxX,It Just Ain't Right,24
Ne-Yo,In My Own Words,5uNjXM5EXUvBwT0Pqd3ktD,Mirror,28
Ne-Yo,In My Own Words,2HZCI7vNLBMENYqUKpLPMa,Sign Me Up,22
Ne-Yo,In My Own Words,15ohCAGCcnCbc0mi7zuVXG,I Ain't Gotta Tell You,24
Ne-Yo,In My Own Words,7yLjTOGVCtGi6hxhaRTsWy,Get Down Like That,25
Ne-Yo,In My Own Words,7xCPr7Q1HAfCbvvvSs7dtF,Sexy Love,34
