track_artists,album_name,track_uri,track_name,track_popularity
Sha Blood,The Art of Making Love and War,7o4qQBDFuUeDIGmOP46Yk5,Let 'Em Know,0
Solomon Childs,The Art of Making Love and War,47iRpRTa7YaGpnpirn4QDH,And Staten Island,0
Solomon Childs,The Art of Making Love and War,1wxlJFKWrc2nydyp9c4YKv,You,0
Solomon Childs,The Art of Making Love and War,7eAQvW8cFfQqwV30THijij,My Point of View,0
Solomon Childs,The Art of Making Love and War,4rdrDAb5VYIlvWyFM4UQTn,Dreamin',0
Solomon Childs,The Art of Making Love and War,4tm7pQ9pR4LUGw3WwVvPlW,Find Tha One,0
Solomon Childs,The Art of Making Love and War,6NTktgkvUDv0yLHCw4kks6,Let's Fuck,0
Solomon Childs,The Art of Making Love and War,4bgDFRapHObqFRvcYdJtQK,My Money Long,0
Solomon Childs,The Art of Making Love and War,2zylklLSxuujSLZ7Tw6zFB,Tryna Stay Up,0
Will Geiss,The Art of Making Love and War,5rQZ0OGe7BosggxwSEX3jP,No Way We Can Lose,0
Solomon Childs,The Art of Making Love and War,0g9bVPP4x816opkdYzu7nL,I'll Hurt You,0
Deemi,The Art of Making Love and War,6FKdRkzkMlKPpUCWFyCMJT,Soundtrack of My Life,7
Solomon Childs,The Art of Making Love and War,1Re9b3StsqlRhgaW0t4MG7,Just Fine - Remix,0
Solomon Childs,The Art of Making Love and War,7eanGC4hVVpTkMgJyPo2gK,My Shawty - Remix,2
Solomon Childs,The Only Way,2RD6TeBoSCohsEUlbsnA8k,The Only Way,1
Solomon Childs,The Wake,0t1h5GJ3HlQv1ctL6P32xF,Genocide (Intro),0
Solomon Childs,The Wake,5pOJ5MtMec2fTPc9OJW75F,Aggressor,0
Solomon Childs,The Wake,7pFozAUVavBbpA3zUPrS3w,Mama Can U Hear Me,0
Solomon Childs,The Wake,0cwNhRGZWCjanikvZ8F87f,Said Yo - Original,0
Solomon Childs,The Wake,5nmRFcgcYbNK26YqyAnRgx,My Guns is All I Got to Bust,0
Solomon Childs,The Wake,4PVFNHxU1aFKjcSFRViJID,Red Rum,0
Solomon Childs,The Wake,1CidFtcg50w4a8DXYPkwzS,Glocks Go Pop,0
Solomon Childs,The Wake,6OKYYgZahnqFGgWVftfQfc,Hollywood Actors,0
Solomon Childs,The Wake,4GFlwsDchX9msoqEmc4ogn,Throw My Life Away,0
"Solomon Childs, Natalia",The Wake,4qRWnu44gbkRfcDUs4GCgZ,Crazy over You,0
Solomon Childs,The Wake,2ZC6BLLxEUIk2r5lcVupc0,Ladies in the Place,0
Solomon Childs,The Wake,559wDc9jZYeZKVZj7bNLR7,Slow Down (Remix,6
Solomon Childs,The Wake,58DCGLI0ZIpsXhqh33adoI,Staten Island Stand Up,0
"Solomon Childs, Ghostface Killah, Krumbsnatcha",The Wake,50bIU0g5ztZFLaNW8iApUe,Thorough,0
"Solomon Childs, Ghostface Killah, Krumbsnatcha",The Wake,28PNpv7TNs4vOVV3HTEMml,Top Dog,0
Solomon Childs,The Wake,44e5or1tsbMw43vId5FOxK,Rap Star,0
Solomon Childs,The Wake,5hIIORTAfXGBtQnK5Btl05,Corner Store Candy,0
"Solomon Childs, Method Man, Q, Son Don Moet",The Wake,40TowM9uMzac59CtQQdSlA,Millennium Line Up,0
"Solomon Childs, Ghostface Killah",The Wake,2jTTh82nwxSCtMrZM9htsN,Gorilla Hood,3
Solomon Childs,The Wake,1O9itvmmSgtAVqGxW41udh,This 4,0
Solomon Childs,The Young General,2o8ZxVZfFm0oY6VKRiycPm,The General Now,0
Solomon Childs,The Young General,1tjklwY75k8kL8DzIqaaeB,Young Nyc,0
Solomon Childs,The Young General,2hPHcfzmkBpDnfcuDAw8UQ,Baby by Me,0
Solomon Childs,The Young General,1wJ7mIIIhnn4FiGqDGOnr3,Ease Up,0
Solomon Childs,The Young General,5uY9VfIAciVCKJzQhSxOZg,"You Don't Hear, You'll Feel",0
Solomon Childs,The Young General,1Oe0ElsOQrggGSwtKKxdLH,Gee'd Up,0
Solomon Childs,The Young General,2gOIIU1eDsJRZkWPkWRVyd,Playing with Ya Life,0
Solomon Childs,The Young General,5WmkfJeYiXaYnbI3U8twkl,Look What You Did to Me,0
Solomon Childs,The Young General,2hm1O336VAiKknwCAvl7eH,Dreamin,0
Solomon Childs,The Young General,2Ij9nEqYyJRwPReaWQpl1a,Falling,0
Solomon Childs,The Young General,1cTx2xySZzGCzdRpslE9a1,Around,0
Solomon Childs,The Young General,3DdNjzAYDXLr2Day55DERn,Techniques,0
Solomon Childs,The Young General,1SqGnUBR1UQIQCGbZoQ7Li,Nothing but Nigga,0
Solomon Childs,The Young General,7BKgDuIUfA9803ufQ5LFb9,Let Um Live,0
Solomon Childs,The Young General,74TlidXenjexnu0G7EF9AW,This $ That,0
Solomon Childs,The Young General,6m8JWpF0NduTCvkRWPryYU,Deathwish,0
"Solomon Childs, MarkDee, Black Jesus",The Young General,3vMeRbHcEBPKKcJw1DNjgh,Tired,0
Solomon Childs,Wu-Tang 4 Life,4UrQOeE0Y2GHcPBAb60dDd,Be Like,0
"Solomon Childs, Sha Stimuli, G.S. Advance",Wu-Tang 4 Life,57uZ9HlEkWgHRS92PsqoMM,Suicide Story,0
Solomon Childs,Wu-Tang 4 Life,0RKoa0QFs204OgTgmPlYml,Cocktails,0
"Solomon Childs, Fes Taylor",Wu-Tang 4 Life,20tkkiSfQNQ9Zpuf9oRACK,One Eye Open,0
"Solomon Childs, David Corry",Wu-Tang 4 Life,43kvO7ikRvadvKLJo1UZ5C,Since I Met You,0
"Solomon Childs, Yung Budd, Judah Priest, Bakerdon",Wu-Tang 4 Life,1oW1pxMs1qlBMLicFepNjE,Gameface,0
"Solomon Childs, Meyhem Lauren, Jus-P, Rook Da Rukus",Wu-Tang 4 Life,60GbCoKz7e47IvWY2G1f6o,Fallen Down,0
Solomon Childs,Wu-Tang 4 Life,4WYDpeMBMHPtKCBPI6IQHN,Lovin' You,0
"Solomon Childs, Rasul Allah, G-Clef Da Mad Komposa",Wu-Tang 4 Life,0USe7TYlJNUuhi0i1qT4QO,Black Fields,0
"Solomon Childs, Darkskinned Assassin, Dungeon Masta, Dainjamental",Wu-Tang 4 Life,4wNKwLIg6slpFl2pisNtsk,Warning (We Ain't Havin' That),0
Solomon Childs,Wu-Tang 4 Life,7FLwSZTJ27dhO3crA1zGPX,Changes,0
"Solomon Childs, Buddha Monk, Menace O.B.E.Z.",Wu-Tang 4 Life,0ULVLyYF0HkAML55JrCQZI,Hustle,0
Solomon Childs,Wu-Tang 4 Life,2Bujshm1dre7WhavRtGgT5,Snitches,0
Solomon Childs,Wu-Tang 4 Life,0aAZDyprWBd3sYZfb48vrJ,Now and Then,0
Solomon Childs,Wu-Tang 4 Life 3,57fHvGnXS2bwLQSVxo9IfI,Not Fragile - Intro,0
Solomon Childs,Wu-Tang 4 Life 3,3XfOMImww7wnoxOoeb7DsW,The World Is Changing,0
"Solomon Childs, Jus-P, G-Clef Da Mad Komposa",Wu-Tang 4 Life 3,6ebwR6ZzoES5ajIkFNxarE,You Don't Want,0
Solomon Childs,Wu-Tang 4 Life 3,6399hX8sS7VIb6odYLYCgt,You Are,0
Solomon Childs,Wu-Tang 4 Life 3,2i8m5vCt9OE98Zjvw2Igf4,Maria,0
"Solomon Childs, Kool G Rap, NJE",Wu-Tang 4 Life 3,0Lj9MKQyl2XU0BjGahUMJE,Die for My Team,0
"Solomon Childs, Novakane",Wu-Tang 4 Life 3,7eLwPZVTD40u9vajuEsd3H,Listening,0
Solomon Childs,Wu-Tang 4 Life 3,7imHMZKGwl41NQyES6o1GX,Prime Intelligence,0
"Solomon Childs, Killa Mob",Wu-Tang 4 Life 3,2fxF8YLe2VSo6NWBBQoQB7,Memory Lane,0
Solomon Childs,Wu-Tang 4 Life 3,7eQmmye3fHBpEkjSzQYVF9,If We Don't Make It We Gon' Take It,0
Solomon Childs,Wu-Tang 4 Life 3,134byqHCeo8Tkvyt68NBhg,Not for Me,0
Solomon Childs,Wu-Tang 4 Life 3,5lrDob9ZDXk5o2RPZ8JN6X,Talkin',0
Solomon Childs,Wu-Tang 4 Life 3,5QfgCH7TrCTizXN2JkgMaU,We Are,0
"Solomon Childs, G.S. Advance",Wu-Tang 4 Life 3,3csd2QOhKPB49OsYQn1H8F,What Do I Do?,0
"Solomon Childs, Killa Mob",Wu-Tang 4 Life 3,6dJ3DWw3uNBhwZw8fPZNfS,It's Your Life,0
Solomon Childs,Wu-Tang 4 Life 3,1C2L6WR5wqk2ZZLjAn5Uvc,Who's the Boss Now?,0
Solomon Childs,Wu-Tang 4 Life 3,1TBIAMbUXdE4y0dN31Cuik,The Middle,0
Solomon Childs,Wu-Tang 4 Life 3,5kfc60hkG0TdeuaseQbxq5,Niggaz Is Hood,0
Solomon Childs,Wu-Tang 4 Life 3,2UubIehIND4TILMrbae1f2,"Private Dance (Excuse Me, Stripper)",0
Solomon Childs,Wu-Tang 4 Life 3,231aRyhB1f9uAFXsgjAl1D,My Mind,0
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",3x9k3QXri7XMxQhhpqyHtE,Stay Scheming,1
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",7uNstYUZ9a9GazuGBSraPi,That Could Be Us - Remix,2
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",5Sne4V5etkqbRYvCV0Fqpp,No Church in the Wild,41
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",24HAJs5omSQ973cPMwL8Ir,Get This Money,3
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",4COmtSLnxEKu72C6VB1k4U,Hottest in My City,1
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",3mRntoM1Jvx7j3GSDz86NA,Rolling in the Deep,1
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",5JLYw8QkvMrYj3IhyNOXfw,Spin Off,1
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",0Puy2IVO3RM8VCpR30lZIf,Real Hip-Hop,1
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",4GL0p25FICXH6K50AcwK9U,Heavy,0
Solomon Childs,"Wu-Tang 4 Life, Vol. 2",3f463fsywyUtpsOnk2u3SO,Circumcised,0
