album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
3OHxfqmr3SGPOkj7bEXeWX,Ain't No Money Like Trap Money (Vol. 1),Fredo Santana,5/20/15,album,0,NA,2085,4
2GD5zhh62AEsDZeDdilyzJ,Fredo Kruger,Fredo Santana,2/28/13,album,0,NA,2086,4
4y8VCv8bEgpdcGXzaGFcAi,Fredo Kruger 2,Fredo Santana,9/8/17,album,0,NA,2087,4
7Ep13WCeRQoN8ARCPGUfPD,Fredo Mafia,Fredo Santana,7/4/16,album,0,NA,2088,4
21sye4TzqcuSdmyY3gU6bp,"Go Live (feat. Chief Keef, Ballout & Tadoe)",Fredo Santana,8/4/17,album,0,NA,2089,4
358Y0BccNif7Usd553ZiAa,It's a Scary Site (Hosted by Trapaholics & DJ Victoriouz),Fredo Santana,9/20/12,album,0,NA,2090,4
3POxztMv7T5xSQ4L9zV0rX,It's a Scary Site 2,Fredo Santana,12/20/13,album,0,NA,2091,4
0f6dJkNiFyuSYHeYp47GOl,Kill U on Camera,Fredo Santana,8/25/17,album,0,NA,2092,4
3hWqct8yNNEtQXjiOOq9v9,Kill You on Camera,Fredo Santana,8/1/17,album,0,NA,2093,4
7mvgCAMgL7yNynS0zDHXbU,Plugged In,Fredo Santana,1/20/17,album,0,NA,2094,4
10m5vXmKXzwleTr472dKgF,Trappin' Ain't Dead,Fredo Santana,10/31/13,album,0,NA,2095,4
4eXytKQCltDTGznZ1OH2lq,Walking Legend,Fredo Santana,7/31/14,album,0,NA,2096,4
09pRTTE7nLwt1QHtMaNeOe,Want My Spot,Fredo Santana,1/23/18,album,0,NA,2097,4
66ZNyAO6rJ7UmErLIpzmzC,Street Shit,"Fredo Santana, Gino Marley",6/27/13,album,0,NA,2098,4
2HZuNcdyDP2IA2T7MtTWcv,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,10/10/18,album,0,NA,2099,4
53oqFs4q8sfqH6IPiyleEN,Free Nationals,Free Nationals,12/13/19,album,0,NA,2100,4
5COwxcrDHpm6t439Cuba4p,Shibuya,Free Nationals,11/8/19,album,0,NA,2101,4
3JSJyzppxZlGxoqawHFgbj,Eternal Light,"Free Nationals, Chronixx",10/15/19,album,0,NA,2102,4
1ffElvStUPwXnCwQOzXOUY,On Sight,"Free Nationals, JID, Kadhja Bonet",9/20/19,album,0,NA,2103,4
7kq1ebktEQwpq5YaHGjPac,Free Will,Freeway,4/29/16,album,0,NA,2104,4
5nneB9u7pcODVkvWZs6tFJ,Freedom of Speech,Freeway,11/18/14,album,0,NA,2105,4
5nREQGl0Y5eQPFOaNHaP7l,"Month of Madness, Vol. 1",Freeway,11/18/14,album,0,NA,2106,4
1oKdikVZmWqC92aGaADbBX,"Month of Madness, Vol. 10",Freeway,11/18/14,album,0,NA,2107,4
7CTTaAnVGrd1yAYt6DvUBQ,"Month of Madness, Vol. 11",Freeway,11/18/14,album,0,NA,2108,4
70fm2bwOGwO71lFoerbDXG,"Month of Madness, Vol. 12",Freeway,11/18/14,album,0,NA,2109,4
0vbXYPgjXZFAn2udhEGmq2,"Month of Madness, Vol. 2",Freeway,11/18/14,album,0,NA,2110,4
3orXiiSBokMb97T98UNNtW,"Month of Madness, Vol. 4",Freeway,11/18/14,album,0,NA,2111,4
3y5pjAo44l2DwyWmtv32EG,"Month of Madness, Vol. 5",Freeway,11/18/14,album,0,NA,2112,4
2MXxH03PMRyJT0edRoOCoa,"Month of Madness, Vol. 6",Freeway,11/18/14,album,0,NA,2113,4
60W4oRlXmdjy8pV5QH6ctF,"Month of Madness, Vol. 7",Freeway,11/18/14,album,0,NA,2114,4
6hKnZicICr9W2UMGsJx7MX,"Month of Madness, Vol. 8",Freeway,11/18/14,album,0,NA,2115,4
3gAuYEdT1Vx9sudnSmAPiu,"Month of Madness, Vol. 9",Freeway,11/18/14,album,0,NA,2116,4
3qzX0pYJhgVkfTbJmcwuMg,Philadelphia Freeway 2,Freeway,7/28/15,album,0,NA,2117,4
3TdzlLvp92Gs8ytjbvudU3,The Beat Made Me Do It,Freeway,11/18/14,album,0,NA,2118,4
2xEc6J9F3bGTbLiD9xbp9j,The Intermission,Freeway,11/18/14,album,0,NA,2119,4
30RpjN8k8DVsHDwh00ZAKS,Think Free,Freeway,6/22/18,album,0,NA,2120,4
6dCQ7OUUm2oLfOdHOlHulX,Write My Wrongs,Freeway,11/18/14,album,0,NA,2121,4
0hxTM6isophoY8wq5sjYg0,Casino Life - Mr. 16,French Montana,2011,album,0,NA,2122,4
1dOMtl1MR3L3kxn9sgKbsv,Casino Life: Mr. 16,French Montana,2/16/11,album,0,NA,2123,4
72nWp7Nzops5TbonDkj8ch,Cocaine Konvicts,French Montana,9/7/09,album,0,NA,2124,4
47fRnYCk13PNR7xSY4ikOX,Coke Boys,French Montana,9/15/10,album,0,NA,2125,4
5XO3AMoaPFcF3SSY8wMpmj,Coke Boys 2,French Montana,2011,album,0,NA,2126,4
7KyWDnJ3lyCwq7IvF3qnRj,Coke Boys 3,French Montana,11/6/12,album,0,NA,2127,4
5q9EcrbRPXsrVVrRyIH8gR,Coke Boys Tour,French Montana,10/20/10,album,0,NA,2128,4
2PpxxoArVS7VEVhZlSOhY1,Coke Wave 2,French Montana,9/7/10,album,0,NA,2129,4
0CzrFpMimyOqcUHIdzgekz,Excuse My French (Deluxe),French Montana,1/1/13,album,0,NA,2130,4
1J6cnvBcyU2Sjl9UZCOlBb,French Revolution,French Montana,9/4/07,album,0,NA,2131,4
3nRP1rcJVLhFkoKO9ArUHS,Goon Music 2.0,French Montana,5/5/09,album,0,NA,2132,4
4c2p3TdN7NcQfCXyueCNnC,Jungle Rules,French Montana,7/14/17,album,0,NA,2133,4
3jY530B68THqJUzx3uNLKa,Lock Out,French Montana,2012,album,0,NA,2134,4
1jJdkoOAj3Uk6Tbv3S4fsa,MONTANA,French Montana,12/6/19,album,0,NA,2135,4
7rmnGDfffE9OoCScZ4pjjU,Twisted (feat. Logic & A$AP Rocky),"French Montana, Juicy J",10/11/19,album,0,NA,2136,4
1sxQSVktWFNNwdFnH8ndmx,New Thang (From the Original Motion Picture Soundtrack 'Uncle Drew'),"French Montana, Remy Ma",6/12/18,album,0,NA,2137,4
1v3mvgCF6QJTyJQv2vI6Fb,Out Of Your Mind (feat. Chris Brown),"French Montana, Swae Lee",2/3/20,album,0,NA,2138,4
6TvW6H8pazvevRd1m0LfRA,Gutz and Glory,"Fucccdat, Tadoe",3/24/19,album,0,NA,2139,4
5M1abRnhUWaLZdgd29gQ6M,100 Shooters (feat. Meek Mill),"Future, Doe Boy",7/12/19,album,0,NA,2140,4
6P9PZjWXoCRF5b66BafPKY,Future & Juice WRLD Present... WRLD ON DRUGS,"Future, Juice WRLD",10/19/18,album,0,NA,2141,4
187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,"Future, Young Thug",10/20/17,album,0,NA,2142,4
