album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
1ta2WfxcAhhTzCsUP2Kiex,My Partna Dem (Remix) Feat. Lil Scrappy & Ludacris,Rich Kidz,8/29/09,album,0,NA,4740,8
0zL1JFZKNFV35T88FCSNQT,Straight Like That,Rich Kidz,3/3/11,album,0,NA,4741,8
7rmwREXfpCrSqBaKhgyNgC,Straight Like That 2,Rich Kidz,4/28/11,album,0,NA,4742,8
5mw5QJP6PwMGhsHB9todnf,Y.A.R.S,Rich Kidz,8/25/14,album,0,NA,4743,8
29ljL5QvYMhy07hjzhSG4y,Go Up (feat. Roddy Ricch),Rich The Kid,7/12/19,album,0,NA,4744,8
4mJn7IXnxGkOf9J8IhC711,That's Tuff,Rich The Kid,12/6/19,album,0,NA,4745,8
1Hno6CtKbaFNAEPjRHDrc6,The World Is Yours,Rich The Kid,3/30/18,album,0,NA,4746,8
6GDXnx6AUDGH0tpxXQX0Kn,The World Is Yours 2,Rich The Kid,3/22/19,album,0,NA,4747,8
6krJbTQFsYKWdXJJa1WCYr,Party Bus,"Rich The Kid, Famous Dex, Jay Critch",6/28/19,album,0,NA,4748,8
4dLLebdeyxmLDUOmUgmkEg,Rich Forever 4,"Rich The Kid, Famous Dex, Jay Critch",8/2/19,album,0,NA,4749,8
7BdXFwf9b2bnQ8w9A7GYwE,Money Talk,"Rich The Kid, YoungBoy Never Broke Again",1/17/20,album,0,NA,4750,8
4PcX8QbfTWiaWfbwQ0hw2e,"Buddha, Buddha",Rick Rock,6/26/19,album,0,NA,4751,8
5OQ46UiKltoHtHrGFXB1HI,Black Market (Deluxe),Rick Ross,12/4/15,album,0,NA,4752,8
1YSb516nyR6ALY2ji1eCAV,"God Forgives, I Don't (Deluxe Edition)",Rick Ross,1/1/12,album,0,NA,4753,8
2wrNBkvVJykqMcq9WYCO38,Hood Billionaire (Deluxe),Rick Ross,11/24/14,album,0,NA,4754,8
3wPd5PnHMlkeRCabXyX57s,Mastermind (Deluxe),Rick Ross,1/1/14,album,0,NA,4755,8
1mgw5rbUS94uif2ce9QCf0,Port of Miami 2,Rick Ross,8/15/19,album,0,NA,4756,8
08XXyTmAv1vNghZS4p0ng2,Rather You Than Me,Rick Ross,3/17/17,album,0,NA,4757,8
2u29pL0PTNRoRHlkZkaTXK,BIG TYME,"Rick Ross, Swizz Beatz",7/2/19,album,0,NA,4758,8
7qeDyhBwJQulBYPAurLPMF,Discrete Luxury,Rico Love,1/1/14,album,0,NA,4759,8
4kxWVrBysQS9lEmv9fDap6,Even Kings Die,Rico Love,12/3/18,album,0,NA,4760,8
6b8IPiQ7F6pAo4UVlP1sV8,Settle Down (Radio Edit),Rico Love,10/11/05,album,0,NA,4761,8
1rtxpNoSQxT4V8Dy223mTB,Somebody Else (Remix),Rico Love,5/12/15,album,0,NA,4762,8
4zgs066xH4EJ4kIrw88Yhj,They Don't Know (Remix),Rico Love,1/1/14,album,0,NA,4763,8
5enHYKdCZgw3oetOUqIibl,Turn The Lights On,Rico Love,5/18/15,album,0,NA,4764,8
1hNFg2lPTLKhxxrhtXWs7L,MARSHMALLOW MAZERATi,"Riff Raff, DJ Paul",10/11/19,album,0,NA,4765,8
4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),Rihanna,1/28/16,album,0,NA,4766,8
7uGmyYwDFJbSc1xs4hkEs2,Rated R,Rihanna,11/20/09,album,0,NA,4767,8
