artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),3XFwOQU8wxXWl8Rxj3lrOi,"Only You (feat. WizKid, Offset & J Balvin)","J Balvin, WizKid, Offset",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),42k9e2hgl98IdgkXLg4pxs,"No More (feat. Travis Scott, Kodak Black & 21 Savage)","Travis Scott, Kodak Black, 21 Savage",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),156LzfvMNKuXuiot4uzhGD,No Complaints (feat. Offset & Drake) (Bonus),"Offset, Drake",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),64wSIBV7Dl5Hmnhfjfsv1U,10AM/Save The World - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),0Bas2DXoMaoIZeWu0j0lJU,Overdue - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4m7wjaJF9SdnoZpZVrD113,Don't Come Out The House - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),1zBlx8uMzUxl61MG8nQ9UB,Dreamcatcher - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),1NeZpPnNi3DblecF4HIA9h,Space Cadet - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),4TGw3fSZwRDlowy9JjiH6r,10 Freaky Girls - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),3P4W8dTAemA0eMiHdpdRJi,Up To Something - Instrumental,"NA",16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,"Offset, Metro Boomin, Travis Scott",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,"Offset, Metro Boomin, Quavo",16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),Metro Boomin,16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,2D2w9943rsnJOGCrI4aMQp,My Choppa Hate Niggas,Metro Boomin,16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
21 Savage,Without Warning,7LAhKXDNWwq3CmnFP3UIOP,Nightmare,Metro Boomin,16,0MV1yCXcNNQBfwApqAVkH0,21 Savage,2017-10-30,1URnnhqYAYcrqrcwql10ft
