"","album_name","track_name","track_uri","artist"
"1","The Slaughter Tape","Skrrt Skrrt","065LHZtJbXDZNAaQ2wQ5Sd","21 Savage"
"2","The Slaughter Tape","Pimp","3IDT2Uym5rKea8YprYyeBt","21 Savage"
"3","The Slaughter Tape","Gang","4KP63LKrVrEdAK176UJYg8","21 Savage"
"4","The Slaughter Tape","Picky","5BH86QTag2wQ95HSrEGqQX","21 Savage"
"5","The Slaughter Tape","Slaughter Ya Daughter","0ikF7YGnEM1UpPTng3y9iq","21 Savage"
"6","The Slaughter Tape","Drip","0Qxo9U5lhJBXSMkjx1nuzm","21 Savage"
"7","The Slaughter Tape","Out the Bowl","6IdFmILKYNfeZW9LYE4jhM","21 Savage"
"8","The Slaughter Tape","Drinkin and Driving","0xJ6waQuwURRV21Dk13OTG","21 Savage"
"9","The Slaughter Tape","Start Dyin","5W9lZvCYgDESkJrO9pquwX","21 Savage"
"10","The Slaughter Tape","Fuckin Niggaz Bitches","0x33D0zzfOILljMVr54RWs","21 Savage"
"11","The Slaughter Tape","Million Dollar Liq","0cmp9n5Wsls5MsasGAQqs6","21 Savage"
"12","The Slaughter Tape","Seeing Double","1jrhaPfJO5Ptp65bOvowI2","21 Savage"
"13","The Slaughter Tape","Heart So Cold","1IuLSY7riq1V1miGpKAGlr","21 Savage"
"14","The Slaughter Tape","Woah","3wrrgR3oLdbvzcKoKoxyDQ","21 Savage"
"15","Slaughter King","Lord Forgive Me","2DtqYVY9L3m7yvUvra7Ge6","21 Savage"
"16","Slaughter King","Dirty K","5jzICnPx3GiVD2FzvUhP1T","21 Savage"
"17","Slaughter King","Front Door","3QfT6j50zHZLPrl5skf9mX","21 Savage"
"18","Slaughter King","Wow","4C61YwZyiVfzrh8walv04F","21 Savage"
"19","Slaughter King","Slime","00WFoR7tPga5Wj92MSR3eD","21 Savage"
"20","Slaughter King","Mind Yo Business","4tUHRIoPI8YiOsNOUrTomJ","21 Savage"
"21","Slaughter King","No Peace","3ZFYvE2CoxAKCs5O5DFkXA","21 Savage"
"22","Slaughter King","Dip Dip","3xAXYCtd98G5G0SSJAHtqd","21 Savage"
"23","Slaughter King","Motorcycle","0xwn1hcwKZEQTaRTLP0PFc","21 Savage"
"24","Slaughter King","Deserve","0H117ffxP9pOWGffiGCY3L","21 Savage"
"25","Slaughter King","Partments","2eq9aw5ZZIuRswW9fy5PKE","21 Savage"
"26","Slaughter King","Vette","0CAugnKxS7xneO9ShRRxuY","21 Savage"
"27","Slaughter King","Bitch Nigga Please","44TMQoBzzvSPhOouSxiBdT","21 Savage"
"28","Slaughter King","Help Me","6BNymc6C7PlRwBzgZBm5dk","21 Savage"
"29","Savage Mode","No Advance","2kE82JhBcoS7mimFO1SqqX","21 Savage"
"30","Savage Mode","No Heart","4gmmRb6bZJffOOiww1JGTO","21 Savage"
"31","Savage Mode","X (feat. Future)","6fwdbPMwP1zVStm8FybmkO","21 Savage"
"32","Savage Mode","Savage Mode","52hRcWmjRNFuVJv3Qi7EeF","21 Savage"
"33","Savage Mode","Bad Guy","5TvdhNXoHbeGeWtjCYhFuy","21 Savage"
"34","Savage Mode","Real Nigga","5V57eUQoTrMCZqonhzi8B9","21 Savage"
"35","Savage Mode","Mad High","6hEHxpZpvZwt1v4NoGwjKr","21 Savage"
"36","Savage Mode","Feel It","4ujX9kC3UUp26MG0tPhUCz","21 Savage"
"37","Savage Mode","Ocean Drive","1UyLFPOIG7E1OfamPQLOfD","21 Savage"
"38","21 Gang","21 Way","01wBU8gh3tybWjn93SHIJN","21 Savage"
"39","21 Gang","Soda","3bF50qEQ6NTDdgCgABHVFx","21 Savage"
"40","21 Gang","Hollow Tips","0Hk7amXjyHeo5YZhHUXWU2","21 Savage"
"41","21 Gang","Oh Ok","5beLuWMavZJ7Bha5VPrHdk","21 Savage"
"42","21 Gang","Never Had Sh*t (feat. Lil' Duke)","3GmBnV5gEEj6LlOFVrPfMk","21 Savage"
"43","21 Gang","First Night (feat. Jose Guapo)","3G2FoP20eI9wAEIc5OxP4g","21 Savage"
"44","21 Gang","Extendo","2gBqKtYA1O7eX3Y9bxpARz","21 Savage"
