album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
3nVqeuOMLIkIgIltdgVD6I,Mursday (Deluxe Edition),"MAYDAY!, Murs",6/10/14,album,0,NA,1,1
6PXVE7UeyAYF6fB5xpyzNq,Bring The Block Outside,03 Greedo,9/18/19,album,0,NA,2,1
6kfRi7E2DbxcVdMO5aYaqB,Can't Fuccin Believe It,03 Greedo,6/21/19,album,0,NA,3,1
1hZSkfMsOE2J7dV2NGK7Of,Fortnite,03 Greedo,4/27/18,album,0,NA,4,1
4elwYqB897R5hwIqJXDXxy,God Level,03 Greedo,6/27/18,album,0,NA,5,1
1NzRBohVf8UuXnY3MH8wl6,High Off Me (feat. Yung Bans),03 Greedo,5/18/18,album,0,NA,6,1
1XVEEMdWeAvxugEwzb15Cc,Look Bitch (feat. Mike Wayne),03 Greedo,6/19/19,album,0,NA,7,1
0mN9qYcfmWYMfsy0t30xUc,Purple Summer,03 Greedo,7/27/16,album,0,NA,8,1
3bw0OfTkjlkoJLtNIOWf6u,Purple Summer 2: Son Don't Shine,03 Greedo,10/31/16,album,0,NA,9,1
3l12lny1KiDIRYt7MrVu1R,She's Foreign,03 Greedo,9/18/19,album,0,NA,10,1
4idSpCksSGx8lXtY4nHS8d,Still Summer In The Projects,03 Greedo,4/19/19,album,0,NA,11,1
4TnfqHgc2h5iAK87jU2ZKJ,The Wolf of Grape Street,03 Greedo,3/9/18,album,0,NA,12,1
4O0qVKPXobV27sbc2nHhiR,Maria,"03 Greedo, Kenny Beats",11/13/19,album,0,NA,13,1
708kDa6raFC1CFOHv2t4lf,Netflix & Deal,"03 Greedo, Kenny Beats",11/22/19,album,0,NA,14,1
29jkz4rYD0R0b7K98QUZmC,Cellout,"03 Greedo, Travis Barker",7/3/19,album,0,NA,15,1
5Ees1kZ9IGMmrPTfer6Mt4,Meet The Drummers,"03 Greedo, Travis Barker",7/5/19,album,0,NA,16,1
09xpVUngS49NvlyFcIaVBk,Accusations,070 Shake,7/20/18,album,0,NA,17,1
6bfMzBBgOt4CoB88WPn0Yc,Be Myself,070 Shake,7/24/17,album,0,NA,18,1
5HCBV9Epivfv54NNH7VQqA,Glitter,070 Shake,3/23/18,album,0,NA,19,1
7atL3NBAVjqASdyz6Pcw5V,Guilty Conscience,070 Shake,1/10/20,album,0,NA,20,1
6Q2rUMVAKj1DaDh3xB0IEU,Modus Vivendi,070 Shake,1/17/20,album,0,NA,21,1
3TpwJyKkZkFaM13p5rTuwg,Morrow,070 Shake,4/12/19,album,0,NA,22,1
5eDQGcfnBYtRPAiTPv6b31,Nice To Have,070 Shake,4/12/19,album,0,NA,23,1
650xbdr4W9mJfjh6fXNyot,Stranger,070 Shake,4/22/17,album,0,NA,24,1
1oBtfv3rcOO6NoSotlNP3p,Under The Moon,070 Shake,12/13/19,album,0,NA,25,1
1UX5QXG2yPar5Tce7BUyyM,Honey - Single,"070 Shake, Ralphy River, Hack & Tree",8/16/16,album,0,NA,26,1
7IPFhlm939LDCeWAIE2T2n,745 sticky (Injury Reserve Remix),"100 gecs, Injury Reserve",11/6/19,album,0,NA,27,1
0vMisckPcfHdQpUALWLKq1,California Dreamin,"116, Lecrae",7/19/19,album,0,NA,28,1
297HtHWJnhnGi4lQk04wze,I Dont See A Thing (With D Savage),"16yrold, D Savage",12/8/17,album,0,NA,29,1
3Lh212zAMQ3r24BjzTkRR7,Young Scooter,"16yrold, D Savage, Yung Bans",2/16/18,album,0,NA,30,1
2GK9gUz4nsfwgw7YjtDtai,Uptown,"183rd, Smoke Dza",1/18/19,album,0,NA,31,1
2eDX0d5LDpnppAuhqFlGzr,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,1/1/13,album,0,NA,32,1
56TQNcSoy3eQpyWtNwQnrD,COLLEGROVE,2 Chainz,3/3/16,album,0,NA,33,1
4XRo183q0BeXbtJx2d9VWI,Daniel Son; Necklace Don,2 Chainz,8/5/16,album,0,NA,34,1
