track_artists,album_name,track_uri,track_name,track_popularity
"BJ The Chicago Kid, Anderson .Paak",1123 (Deluxe Edition),16tyFb3AIB9bUQsM89U0Nq,Feel The Vibe,35
BJ The Chicago Kid,1123 (Deluxe Edition),09SzgKCCmpNJv3KE8DbQah,Champagne,30
"BJ The Chicago Kid, JID, Buddy, Kent Jamz",1123 (Deluxe Edition),3EykrpgxGOJqihFGlKIp6B,Get Away,34
"BJ The Chicago Kid, Ari Lennox",1123 (Deluxe Edition),7MF9tVew8cDJD84qMrsFsz,Time Today - Remix,30
BJ The Chicago Kid,1123 (Deluxe Edition),5q3t7B5QMIKVvNY0pkA61i,Close,30
BJ The Chicago Kid,1123 (Deluxe Edition),3ILsGyoRFhUvISRHO2AHJa,Rather Be With You,28
BJ The Chicago Kid,1123 (Deluxe Edition),54p4pt6AqYRSmwMmdu2rNv,1123's Playa's Intro,0
"BJ The Chicago Kid, Rick Ross",1123 (Deluxe Edition),5UOJT81567DQcvGlVKPfVl,Playa's Ball,28
BJ The Chicago Kid,1123 (Deluxe Edition),18g0rLU3iBeDOdjqYK40kS,Can't Wait,26
"BJ The Chicago Kid, Eric Bellinger",1123 (Deluxe Edition),0QIYIUhOLuoYZApAZoTCZ2,Back It Up,27
"BJ The Chicago Kid, Afrojack",1123 (Deluxe Edition),1r5ks4SKhRhC2DLu6Vcrtm,Reach,26
BJ The Chicago Kid,1123 (Deluxe Edition),3ZKNXubg7ovcE91FuAJO5s,Too Good,25
"BJ The Chicago Kid, Offset",1123 (Deluxe Edition),17xzUGSrOGzWFWIQmK89EX,Worryin' Bout Me,28
BJ The Chicago Kid,1123 (Deluxe Edition),26qbiahexOJ8OzIkf5Treg,Time Today,27
"BJ The Chicago Kid, PJ Morton",1123 (Deluxe Edition),4jZ8dNdbn9R8uDosh5twHh,Not Coming Back,26
BJ The Chicago Kid,1123 (Deluxe Edition),18aTO0JlNoGaFx6hVNbTxB,Roses,45
"BJ The Chicago Kid, Jeremih, Lil Durk, Malcolm Smith",Church (The Chicago Remix),4reaZqEnC0NypAIvu9CTsW,Church - The Chicago Remix,18
BJ The Chicago Kid,Close,11UsaZi96OOQ5nbWLht4UP,Close,41
BJ The Chicago Kid,Good Luv'n,5NYfB8i3ei2HJJj4v9s4VZ,Good Luv'n,38
